timestamps,TP9,AF7,AF8,TP10,Right AUX
1727361791.699,-9.277,-41.016,-23.926,-26.367,0.000
1727361791.703,-101.074,-33.203,-24.414,-32.715,0.000
1727361791.706,-93.262,-39.551,-21.484,-24.902,0.000
1727361791.710,40.039,-46.875,-26.367,-13.184,0.000
1727361791.714,104.004,-41.992,-33.691,-10.254,0.000
1727361791.718,15.137,-46.387,-40.039,-5.859,0.000
1727361791.722,-103.516,-47.852,-38.574,-19.531,0.000
1727361791.726,-110.352,-41.504,-27.344,-27.344,0.000
1727361791.730,2.441,-41.504,-24.414,-4.883,0.000
1727361791.734,73.730,-38.574,-23.926,-1.953,0.000
1727361791.738,-1.465,-32.227,-21.484,-17.578,0.000
1727361791.742,-102.539,-19.531,-26.855,-34.180,0.000
1727361791.746,-139.648,-15.625,-27.832,-42.969,0.000
1727361791.749,-55.176,-23.926,-23.438,-36.621,0.000
1727361791.753,58.594,-16.602,-26.855,-36.621,0.000
1727361791.757,23.926,-22.949,-30.762,-32.715,0.000
1727361791.761,-91.797,-27.344,-38.574,-43.457,0.000
1727361791.765,-148.438,-27.344,-48.340,-55.664,0.000
1727361791.769,-59.082,-41.992,-46.875,-41.016,0.000
1727361791.773,57.129,-47.852,-40.527,-21.973,0.000
1727361791.777,23.926,-41.016,-28.809,-27.344,0.000
1727361791.781,-94.727,-31.738,-19.531,-46.387,0.000
1727361791.785,-133.301,-26.367,-20.020,-60.547,0.000
1727361791.788,-64.453,-31.738,-26.855,-57.617,0.000
1727361791.792,38.574,-39.551,-33.203,-48.340,0.000
1727361791.796,58.105,-36.621,-33.691,-49.805,0.000
1727361791.800,-43.457,-29.297,-31.738,-41.992,0.000
1727361791.804,-116.699,-26.855,-31.250,-34.180,0.000
1727361791.808,-52.734,-20.508,-31.738,-9.277,0.000
1727361791.812,56.152,-20.020,-37.109,-11.230,0.000
1727361791.816,57.617,-29.297,-37.109,-41.016,0.000
1727361791.820,-41.504,-35.645,-32.715,-45.410,0.000
1727361791.824,-122.559,-31.738,-29.785,-53.223,0.000
1727361791.828,-78.125,-25.879,-28.809,-43.945,0.000
1727361791.831,47.852,-25.879,-30.273,-15.625,0.000
1727361791.835,85.449,-26.855,-24.902,-2.930,0.000
1727361791.839,-28.320,-19.531,-20.020,-4.883,0.000
1727361791.843,-131.348,-6.836,-9.277,-7.812,0.000
1727361791.847,-75.684,-16.113,-13.672,-9.766,0.000
1727361791.851,53.711,-55.176,-31.738,-1.953,0.000
1727361791.855,75.684,-58.594,-27.832,-1.953,0.000
1727361791.859,-30.762,-29.297,-23.926,-20.996,0.000
1727361791.863,-131.348,-25.879,-24.902,-51.270,0.000
1727361791.867,-109.863,-23.438,-26.855,-63.965,0.000
1727361791.871,8.301,-8.301,-34.180,-34.668,0.000
1727361791.874,58.594,-3.906,-36.621,-16.602,0.000
1727361791.878,-12.695,-7.324,-35.645,-25.391,0.000
1727361791.882,-119.141,0.000,-32.227,-49.805,0.000
1727361791.886,-132.812,-3.906,-39.062,-53.711,0.000
1727361791.890,-17.090,-20.508,-46.875,-31.250,0.000
1727361791.894,63.477,-24.902,-42.480,-18.066,0.000
1727361791.898,-3.906,-36.621,-44.922,-21.973,0.000
1727361791.902,-128.418,-40.039,-53.711,-32.715,0.000
1727361791.906,-141.113,-21.484,-53.223,-35.156,0.000
1727361791.910,-10.254,-21.484,-41.504,-33.691,0.000
1727361791.914,82.031,-26.855,-44.922,-32.227,0.000
1727361791.917,20.508,-22.949,-47.852,-27.832,0.000
1727361791.921,-109.863,-22.949,-39.551,-40.039,0.000
1727361791.925,-140.625,-29.785,-33.203,-48.828,0.000
1727361791.929,-29.785,-41.504,-37.598,-25.879,0.000
1727361791.933,81.543,-39.551,-47.363,-7.812,0.000
1727361791.937,50.293,-40.527,-37.109,-9.277,0.000
1727361791.941,-85.449,-42.969,-31.738,-23.438,0.000
1727361791.945,-139.160,-37.598,-37.109,-23.926,0.000
1727361791.949,-48.340,-43.457,-34.668,-22.949,0.000
1727361791.953,83.496,-54.199,-27.832,-20.020,0.000
1727361791.957,95.703,-47.852,-23.438,-5.371,0.000
1727361791.960,-32.715,-24.414,-19.043,-13.672,0.000
1727361791.964,-112.305,-21.973,-19.531,-30.762,0.000
1727361791.968,-33.203,-37.109,-24.902,-23.438,0.000
1727361791.972,70.801,-29.297,-17.578,1.953,0.000
1727361791.976,50.293,-25.391,-7.324,-2.441,0.000
1727361791.980,-65.918,-28.320,-15.137,-19.531,0.000
1727361791.984,-135.254,-33.203,-21.484,-29.297,0.000
1727361791.988,-63.965,-38.574,-23.926,-17.090,0.000
1727361791.992,76.172,-30.762,-32.227,-3.906,0.000
1727361791.996,84.961,-20.508,-28.809,3.418,0.000
1727361791.999,-39.062,-13.672,-15.625,-1.465,0.000
1727361792.003,-113.770,-26.855,-17.090,-39.551,0.000
1727361792.007,-81.543,-41.016,-32.227,-53.223,0.000
1727361792.011,21.973,-25.391,-45.410,-52.734,0.000
1727361792.015,48.828,-21.484,-45.898,-55.176,0.000
1727361792.019,-53.223,-28.809,-45.898,-47.852,0.000
1727361792.023,-147.949,-40.527,-47.363,-54.688,0.000
1727361792.027,-106.934,-55.176,-43.457,-54.199,0.000
1727361792.031,36.621,-48.828,-39.551,-33.203,0.000
1727361792.035,65.918,-34.180,-39.062,-29.297,0.000
1727361792.039,-32.227,-26.855,-36.621,-33.203,0.000
1727361792.042,-130.859,-29.785,-28.809,-50.781,0.000
1727361792.046,-121.094,-31.250,-30.762,-56.152,0.000
1727361792.050,-1.465,-44.922,-41.016,-36.621,0.000
1727361792.054,69.336,-53.711,-41.504,-38.086,0.000
1727361792.058,-3.418,-43.457,-40.039,-52.246,0.000
1727361792.062,-112.305,-43.457,-40.527,-73.242,0.000
1727361792.066,-117.188,-53.711,-43.945,-79.590,0.000
1727361792.070,-9.766,-49.805,-39.062,-54.199,0.000
1727361792.074,76.172,-40.039,-21.973,-16.113,0.000
1727361792.078,17.578,-36.621,-10.742,6.348,0.000
1727361792.082,-103.516,-26.855,-4.395,-9.766,0.000
1727361792.085,-111.816,-29.297,-6.348,-32.227,0.000
1727361792.089,0.488,-36.133,-15.137,-29.785,0.000
1727361792.093,64.941,-41.992,-12.207,-27.344,0.000
1727361792.097,22.949,-35.645,0.977,-3.418,0.000
1727361792.101,-88.379,-31.738,-6.836,-3.418,0.000
1727361792.105,-128.418,-36.133,-14.160,-31.250,0.000
1727361792.109,-12.695,-31.250,-8.789,-18.066,0.000
1727361792.113,90.332,-31.250,-6.348,0.000,0.000
1727361792.117,33.203,-35.645,-9.277,-7.812,0.000
1727361792.121,-82.520,-28.320,-16.113,-29.785,0.000
1727361792.124,-124.023,-21.484,-25.879,-51.270,0.000
1727361792.128,-44.434,-28.320,-25.391,-36.621,0.000
1727361792.132,77.637,-31.250,-22.461,-8.789,0.000
1727361792.136,49.805,-32.715,-25.391,-19.531,0.000
1727361792.140,-85.938,-39.062,-29.297,-42.480,0.000
1727361792.144,-148.926,-30.762,-37.598,-65.430,0.000
1727361792.148,-59.082,-30.273,-46.875,-48.340,0.000
1727361792.152,58.594,-32.227,-50.293,-21.484,0.000
1727361792.156,69.824,-14.160,-41.504,-16.113,0.000
1727361792.160,-37.598,-9.766,-33.691,-20.508,0.000
1727361792.164,-142.090,-22.461,-42.480,-43.945,0.000
1727361792.167,-77.637,-28.320,-42.969,-34.668,0.000
1727361792.171,62.988,-28.320,-31.738,-2.441,0.000
1727361792.175,62.500,-26.367,-29.785,1.465,0.000
1727361792.179,-40.039,-25.879,-31.250,-19.043,0.000
1727361792.183,-125.000,-22.461,-43.457,-31.738,0.000
1727361792.187,-76.172,-31.738,-44.922,-20.996,0.000
1727361792.191,54.688,-39.551,-34.668,-8.301,0.000
