,TP9,AF7,AF8,TP10
0,-0.5796111487019509,-0.08899086316414082,-0.371344861876925,-0.2930661870855975
1,-0.835837951132094,-0.2607583498225254,-0.8136908265847237,-0.49230639233903795
2,-1.1335817686885166,-0.5387938738226765,-1.4286358618196127,-0.7648589380500074
3,-1.4277109226345577,-0.9368144422051425,-2.205094807175524,-1.1023415171651025
4,-1.6609839100001171,-1.4611484813401336,-3.1133215181294744,-1.4708305654996112
5,-1.8052610603936419,-2.1131236784983596,-4.108783636479053,-1.823066862709804
6,-1.8674461420941404,-2.894613199174658,-5.142331657415009,-2.1107986922290984
7,-1.8535091394443088,-3.8069122824058446,-6.171263485182157,-2.293225615698891
8,-1.742913109155067,-4.844374892007671,-7.169614650073981,-2.34765077959077
9,-1.5200841961184932,-5.995662454674013,-8.136334123316376,-2.282254890582987
10,-1.2430364875162907,-7.253245839238604,-9.105042474988709,-2.1415373901919725
11,-0.9765168567849551,-8.600068902062324,-10.10277039550555,-1.9683340383683174
12,-0.7432763390733883,-10.015017628258184,-11.16156945249106,-1.8034645159783027
13,-0.5118424802128343,-11.47145948894507,-12.313635039706394,-1.6764877395577285
14,-0.2742869581273666,-12.930055873760296,-13.581750363388629,-1.617211193595123
15,-0.10620012184375464,-14.34190530844322,-14.973634791041183,-1.6728870804847022
16,-0.10538720241431994,-15.662218362500642,-16.480701698705712,-1.8949061092743573
17,-0.302890229711804,-16.866815930836047,-18.078550946721546,-2.3044433048139377
18,-0.6464056931449058,-17.96419617031902,-19.73035575310976,-2.876621907862913
19,-1.0666140893499845,-18.984377503774862,-21.389794954036443,-3.560250437058645
20,-1.5333824621394914,-19.953283247917298,-23.00277793098847,-4.305883490608072
21,-2.0414689760509384,-20.87790739408845,-24.515725097190806,-5.076546210606447
22,-2.5704407783817267,-21.743429234506667,-25.885531488843377,-5.841255826990434
23,-3.0535623002209733,-22.513511032308788,-27.082269732881354,-6.567328132227894
24,-3.4255748866614724,-23.13706754529371,-28.089003202972748,-7.219270383183432
25,-3.684995041717766,-23.566772527554054,-28.899603676524638,-7.763411102618027
26,-3.870732750097404,-23.774809858601714,-29.51731838670303,-8.177055235392737
27,-3.9938888508233883,-23.751434194177346,-29.954740867545638,-8.451427492852948
28,-4.008518893430288,-23.50233987234236,-30.23193086654183,-8.583838465279177
29,-3.8847985342320452,-23.054348782256668,-30.374083085262903,-8.582975926886556
30,-3.6739506962327746,-22.45570957442352,-30.40869616387429,-8.48940602971752
31,-3.4698146384128274,-21.76642797584499,-30.360731486181923,-8.371471220949623
32,-3.3228823697574086,-21.03998487273794,-30.24532462867329,-8.286376154003861
33,-3.206574963009513,-20.30282961012268,-30.065730119971473,-8.254822497609933
34,-3.0967567500104827,-19.546021099858713,-29.81759225003449,-8.279637886337447
35,-3.0365920211045343,-18.73374379580574,-29.494793096351746,-8.37468534238066
36,-3.098885541289432,-17.829452273303357,-29.09608435145699,-8.569731466614494
37,-3.3086939009666634,-16.82337460954149,-28.6284920834152,-8.88900962286638
38,-3.6122078291784634,-15.735238944721104,-28.1005898402406,-9.324109034546963
39,-3.923999189935697,-14.601457663057685,-27.510017211591816,-9.823798041847121
40,-4.196659631921991,-13.46558739904057,-26.84292287633236,-10.3183489225281
41,-4.445516576791807,-12.369907596059514,-26.08626768057905,-10.758481487289961
42,-4.681729312823737,-11.346454481154813,-25.239778165861985,-11.126844446948494
43,-4.8617112436248195,-10.409477798950702,-24.317371362242028,-11.421273054036408
44,-4.925399311977579,-9.556847900162158,-23.337612339783682,-11.63683363978408
45,-4.847627672338851,-8.782081656273908,-22.31009941789618,-11.772615437033991
46,-4.653819051962508,-8.078909631428681,-21.226483167387535,-11.842751897876227
47,-4.361999173015389,-7.438285235910373,-20.067041542170614,-11.854191408393188
48,-3.940069025806875,-6.856357673318849,-18.8184373076892,-11.787386128870075
49,-3.3370880640884053,-6.351648417821383,-17.487423358553333,-11.61853182799913
50,-2.543041095423744,-5.967846605091738,-16.10080809725472,-11.348386058635716
51,-1.634374439441591,-5.756267487808916,-14.694051553128533,-10.998511653455214
52,-0.7120445968848091,-5.7504021866899135,-13.304078500182548,-10.586337690693712
53,0.1806038859445914,-5.94559336142741,-11.970602407236491,-10.115240234871496
54,1.0476578520611564,-6.301591502338357,-10.737987237650913,-9.586788064196837
55,1.8837065307934504,-6.762995284751371,-9.652795010378359,-9.022469556892007
56,2.634336883810022,-7.275684619606787,-8.7560148526584,-8.474292489621197
57,3.2316976757686455,-7.793098211239407,-8.070522620301263,-8.005358849752348
58,3.658037603684159,-8.279429560208875,-7.587819430419773,-7.650341346189449
59,3.955095132150661,-8.711355365630887,-7.265294190864456,-7.3962824920506325
60,4.1545918519402,-9.076904150675626,-7.035201694041385,-7.207438883694216
61,4.225236666057345,-9.376068128696893,-6.8190754194353635,-7.058917178691218
62,4.1020814609812595,-9.626843642789087,-6.543562250623073,-6.943647474322392
63,3.7430582997843755,-9.873084080529429,-6.152493277051835,-6.853978410174994
64,3.171369481327505,-10.181471524235286,-5.609790307523419,-6.77109117824042
65,2.427016909400976,-10.62177046968325,-4.8983979208500354,-6.685164941029471
66,1.5012689952794815,-11.240758521649115,-4.023907926451062,-6.606683268276449
67,0.37055173856287593,-12.051034128402618,-3.0147390026770213,-6.550127598176397
68,-0.9259572408182297,-13.040935306020556,-1.9127618270192113,-6.520990633250507
69,-2.2655036675919544,-14.186874624060804,-0.7608832909707907,-6.508747242633052
70,-3.529064270375541,-15.458833552210512,0.4072913711758046,-6.490765205879127
71,-4.658371295494945,-16.817594062514388,1.5712009934791125,-6.451680149717708
72,-5.620760747682221,-18.20862014977455,2.7179250599624245,-6.391192961894774
73,-6.363099145748732,-19.566753329477635,3.8370136256346523,-6.30825093800417
74,-6.796352726101232,-20.8321865084772,4.917447192857393,-6.188655015794243
75,-6.86582782758794,-21.96748826678244,5.942803404810105,-6.018484346787726
76,-6.622011766623593,-22.96016656618329,6.89207529865907,-5.8038564157596655
77,-6.185096064587337,-23.812558172622005,7.746224628110476,-5.564455496654146
78,-5.653690966586713,-24.53475876085236,8.490511060159646,-5.30593035582744
79,-5.063585390506214,-25.137568598028622,9.110631779776966,-5.009238689110508
80,-4.434541853557083,-25.62144629749424,9.590174141014687,-4.6502746642666875
81,-3.826550139808216,-25.974393135861312,9.920153330428654,-4.226205474798739
82,-3.3296410929359643,-26.186519162632912,10.115960883889219,-3.751483436628569
83,-2.9782726217292663,-26.263373921270695,10.220798345777894,-3.2302505991718595
84,-2.7133834131946064,-26.224658707629448,10.292051916913506,-2.650112381708809
85,-2.448637348026925,-26.096551831457326,10.382501157175117,-1.998189583709547
86,-2.145667714113914,-25.906650936866352,10.526839947922241,-1.2799163298730092
87,-1.8446138238181096,-25.682877817899637,10.738043015728131,-0.5237320293990324
88,-1.6038928769610599,-25.449784611567882,11.008955456683404,0.2373817307569135
89,-1.4352121441278414,-25.222172331136914,11.318044975432244,0.9830681772001368
90,-1.3186371965935944,-25.003710682371178,11.640664087856523,1.706979751517718
91,-1.2533448488146317,-24.789034763873243,11.956284557986292,2.4025055837344547
92,-1.2839397314639165,-24.568993112464867,12.249150051513421,3.051311198703847
93,-1.4435889247168672,-24.34277864248411,12.504116618479324,3.6284509823004365
94,-1.7063575723650595,-24.119225773185228,12.706066789885623,4.108374528256063
95,-2.00856376908744,-23.898067171300507,12.850220057128674,4.470241187849746
96,-2.293008879627847,-23.660211743887846,12.945176981466647,4.694774924038068
97,-2.542560539060297,-23.375808818766618,12.999702347392047,4.755689208830351
98,-2.7605101491179065,-23.015822836685864,13.004698252374254,4.626278928322687
99,-2.9369530301169307,-22.561333519227066,12.926685244929,4.2926908077626775
100,-3.041193042960992,-22.00397528671205,12.721024788216853,3.7634391384530272
101,-3.0672843944047847,-21.342070785899203,12.349721432863237,3.0627809682813747
102,-3.0781034172983035,-20.577647699988418,11.790400611213725,2.2105182365393072
103,-3.1559158872279474,-19.713392206391433,11.04287977749527,1.2194584568042652
104,-3.3326336244013626,-18.75716599207725,10.127928396585675,0.11040263478532741
105,-3.579968813637234,-17.731514750369687,9.074816459556713,-1.0833270871614065
106,-3.8791094236835826,-16.669934395461084,7.913584151666412,-2.3282769873744757
107,-4.276493076945109,-15.599081175900105,6.672675544740694,-3.602447789577569
108,-4.829417499125393,-14.522079987497776,5.379548743008865,-4.891205248047782
109,-5.515628325453614,-13.41258094940689,4.066418035714392,-6.166563935507836
110,-6.212622443288668,-12.223878317734586,2.7681907032955086,-7.375441600396041
111,-6.788364000304103,-10.912692650504258,1.5108839706319412,-8.456568047072807
