,TP9,AF7,AF8,TP10
0,0.12501155138149073,-0.499404710821947,-0.2624781374398757,0.04141181824027927
1,0.24205740522351038,-1.0543825260614206,-0.5810010430579722,0.03878049759797788
2,0.4139193380950099,-1.838699863024893,-1.0328002410000028,0.017297753554986348
3,0.638550539484483,-2.856400448024794,-1.6101597305149826,-0.030813342933004445
4,0.883031945874659,-4.087839593350254,-2.290645829186494,-0.11886121805334741
5,1.1075397796480528,-5.4905839848561735,-3.0405492647270793,-0.2610942066647391
6,1.296145779565037,-7.007110481755871,-3.8187769403812832,-0.4653611437281781
7,1.4533829962853608,-8.57366779135801,-4.582621395764548,-0.7294200020597564
8,1.5735757582775003,-10.131070367264721,-5.29416408011189,-1.042850265108493
9,1.6315258119027716,-11.63897561118843,-5.926426835266917,-1.3918360872723912
10,1.605563787234531,-13.093869437064,-6.474774405118458,-1.7611536990640002
11,1.5059588214312836,-14.474893507526263,-6.930745345961759,-2.134201100567264
12,1.3576968957603615,-15.763801655228956,-7.293961509428796,-2.4972664319630242
13,1.1626477812173295,-16.94775249069056,-7.5731690868256925,-2.8446120117583735
14,0.9056188406551404,-18.019883375818363,-7.782008636310124,-3.176847166324168
15,0.5943931001129719,-18.978298433877434,-7.930721583238897,-3.4938019651020977
16,0.2731854690268636,-19.82523803649538,-8.025533439516934,-3.7931098340566356
17,-0.01998745500053914,-20.565112268490328,-8.074518604918064,-4.07758797704391
18,-0.28510509600262834,-21.19941941160873,-8.091540662306022,-4.358191213065383
19,-0.5413719147847352,-21.723619077545795,-8.096295795347517,-4.646117106252797
20,-0.7913656337907412,-22.1310650482639,-8.110600113419132,-4.940616607361216
21,-1.0079877724268371,-22.41706658529771,-8.15535423068288,-5.225012532674373
22,-1.1671631866163694,-22.576329399824505,-8.249297686865447,-5.4764975934565685
23,-1.2817332417452467,-22.60043028497383,-8.407596516921027,-5.6776382406643275
24,-1.3927921483738461,-22.481640563031654,-8.64055967041872,-5.820564032054939
25,-1.528120512681799,-22.218790618940687,-8.952552152595507,-5.906060979226143
26,-1.6824321709804408,-21.81767292430098,-9.342397487597612,-5.942206094590177
27,-1.8446728336003695,-21.28693128131795,-9.803850473898741,-5.9440749691175245
28,-2.0308525245190787,-20.637720399560664,-10.324907884190075,-5.935366712248093
29,-2.2841493762639824,-19.886674073899403,-10.88844683666941,-5.947609072608088
30,-2.6309136161745355,-19.055827572452163,-11.474458792032253,-6.011715264183573
31,-3.056249160146067,-18.16961670254693,-12.065957374912136,-6.1494209935515824
32,-3.5287664006078567,-17.2529209051173,-12.656265141401017,-6.370156678136451
33,-4.024784393032773,-16.329877816799826,-13.246525928065163,-6.672281721390941
34,-4.532457525115748,-15.422081885195654,-13.835238132696233,-7.044375081938284
35,-5.0312854872318935,-14.54745927519848,-14.411085653115885,-7.464105825538814
36,-5.480833231154926,-13.720630095901381,-14.951504249175336,-7.900726074263654
37,-5.835559362005343,-12.953022561556427,-15.427820100846992,-8.32202508953423
38,-6.072542147430632,-12.253027159100954,-15.81333390046208,-8.69934767892599
39,-6.212091734327303,-11.627183445996605,-16.085946914136894,-9.009142543937253
40,-6.294127618593649,-11.080255268854925,-16.227915652797016,-9.234902321137014
41,-6.346533128723333,-10.615157805591895,-16.22901994330826,-9.369924859293713
42,-6.3787961324013835,-10.234462212854876,-16.090488808322675,-9.417158526251923
43,-6.400792848039837,-9.941224397774961,-15.82562786312009,-9.38661840122614
44,-6.443820642301047,-9.739358687463746,-15.456762789436818,-9.293259985547587
45,-6.54062809436337,-9.630717610420831,-15.010128716462384,-9.15534421619843
46,-6.692610640452901,-9.607352931788062,-14.511453185216995,-8.989357128901121
47,-6.86508278471922,-9.649738282701001,-13.982627436195301,-8.803988642459972
48,-7.023180227223964,-9.734642864246023,-13.437884206873312,-8.603650946862668
49,-7.1657163657445935,-9.842755243097551,-12.881714663273891,-8.39601482579136
50,-7.311746166712207,-9.959522855580218,-12.312421599503493,-8.189322081067806
51,-7.47349874624613,-10.072797211680987,-11.728395673671123,-7.984125109086909
52,-7.642149096784187,-10.174538400046485,-11.131417512025878,-7.770993071104628
53,-7.808907917244212,-10.264926040994403,-10.528044859242597,-7.535020151554356
54,-7.996199548161651,-10.350480154442758,-9.928901345639641,-7.2623756025352
55,-8.238671845829568,-10.438828512687076,-9.344149085531898,-6.945179845829301
56,-8.53261967189983,-10.53559712404902,-8.78119169077698,-6.581498522770333
57,-8.81851234690535,-10.642104945383345,-8.246262100417407,-6.170691281699266
58,-9.02645425639547,-10.751117068753533,-7.744742331339698,-5.711186466193968
59,-9.122243288064197,-10.842541937593644,-7.277387389990924,-5.207160975958536
60,-9.10434380132785,-10.888813497211745,-6.836089828726324,-4.678047389287684
61,-8.969194876730887,-10.866915947234002,-6.408195055853126,-4.155356985071455
62,-8.692576107329797,-10.764707209911498,-5.985359929104469,-3.6690831804914286
63,-8.265702489070017,-10.581184168933778,-5.566219459325436,-3.2439192223749584
64,-7.7284751748610905,-10.323762252223682,-5.1557449914155455,-2.904838492126614
65,-7.147801280689526,-10.002778044538513,-4.764433207842796,-2.672486242549605
66,-6.570472392324557,-9.626629638988613,-4.405253645456832,-2.550445487879979
67,-6.006055746521312,-9.202906836722315,-4.090480267184136,-2.524928466222722
68,-5.459676661409332,-8.74155148216908,-3.8296843422073463,-2.577699054708538
69,-4.959958968851625,-8.252332857652348,-3.626929850250998,-2.6938592489116333
70,-4.5458721788855145,-7.739550302043585,-3.478006352511407,-2.860524192465159
71,-4.228954782244211,-7.200924295479142,-3.3707013675461206,-3.0634286860736086
72,-3.981071253902627,-6.630585976018164,-3.286599492716212,-3.2847949930180524
73,-3.7750936046263908,-6.021742654417142,-3.2017837302866012,-3.505680356929514
74,-3.618780651951282,-5.369265183353693,-3.0925659299575896,-3.7112635408603056
75,-3.5393362644152964,-4.672986110346194,-2.9450976694948703,-3.8936783749951958
76,-3.539846768731329,-3.939412714377733,-2.7596191305884177,-4.047808504230644
77,-3.5816809821106506,-3.1783891828602706,-2.5485597504106052,-4.164370600661184
78,-3.6131900034533753,-2.396440173562045,-2.3279686339180885,-4.2340137959269
79,-3.6087795103714795,-1.597059560548621,-2.1092572870389543,-4.2573046009107705
80,-3.5813961356780486,-0.7873613931887584,-1.9002865161665077,-4.241774342485095
81,-3.548260234344814,0.01929148611101622,-1.7098099020576458,-4.192969880827573
82,-3.50587928409779,0.8057769328434063,-1.54541291146741,-4.116293847636929
83,-3.4416134624506025,1.5542727309988593,-1.4092297644390386,-4.023055402249708
84,-3.3541032789104164,2.2477537425440675,-1.2980336764812177,-3.9287483722017806
85,-3.2702760492444747,2.8705339852097578,-1.208067089963658,-3.8506636663556226
86,-3.220887427651917,3.410480787070852,-1.1451018493018155,-3.809833579828794
87,-3.2055385713976365,3.8645070023110555,-1.1268640502702187,-3.824064991519368
88,-3.1932102907252227,4.24083283046738,-1.173851882550561,-3.8950724845101115
89,-3.1464808682529286,4.553796834427249,-1.2990349025842753,-4.008212572850758
90,-3.0436692972196306,4.818098830018195,-1.5013809545553018,-4.140640309341961
91,-2.867695420841522,5.046492282691941,-1.763699209853537,-4.266570344883224
92,-2.593224672053009,5.248171742881409,-2.052731656922071,-4.361200131156334
93,-2.1973703406499543,5.425745034020582,-2.325622613158456,-4.40467725316286
94,-1.6859090987122938,5.572866277983806,-2.5411001130188646,-4.388403880533513
95,-1.1122834304427323,5.675494730379182,-2.666062606125544,-4.320673024568535
96,-0.5511224383384282,5.715433238039505,-2.675237870267246,-4.219900697979345
97,-0.05692768376448116,5.674038453323829,-2.550640450218625,-4.102445793298499
98,0.34999633386508683,5.535829679962074,-2.2860777642746455,-3.9779480208696
99,0.6566200872666497,5.291254277527388,-1.8916868215247336,-3.8489221071885424
100,0.8307727164534316,4.939104010830129,-1.394097516517936,-3.711510209453122
101,0.8455060634438348,4.487970209343164,-0.8295235414895781,-3.5542467013792756
102,0.723785228493317,3.957645717113818,-0.23292830045613083,-3.353645094883523
103,0.5453743450963521,3.3790010021267367,0.3703917170577971,-3.076194220390957
104,0.3900703993102801,2.78466479804861,0.9653611961285852,-2.6927128221669823
105,0.28932456745224805,2.1963304137304327,1.537491319439393,-2.1952525707562933
106,0.24016147750136482,1.6218842363554993,2.067838325690771,-1.5978390162740128
107,0.24175241589302693,1.0603682977236228,2.537365797578035,-0.924701145799922
108,0.3110804182332665,0.5067960076748081,2.930776589710787,-0.20487638672240194
109,0.4565955199785825,-0.044458007087958676,3.238804582337689,0.5282805769095011
110,0.6547232262442017,-0.5950873794644278,3.4574794222560534,1.2398708824786737
111,0.86423033858508,-1.1371811953621374,3.5849514253868624,1.8999128041505877
112,1.0607848836311025,-1.6514718674792128,3.6211791154243795,2.4915159444520865
113,1.25623602811873,-2.1100055935462882,3.568184420039874,3.0104952797389366
114,1.4648249595416862,-2.48050443821519,3.4298910834916296,3.455306464887258
115,1.6649981138560463,-2.7321541911578158,3.213256495915603,3.8256784571781637
116,1.8093369927522855,-2.8411806857428146,2.927411913801173,4.128249828945985
117,1.867945494669358,-2.7952841314204937,2.58239761315102,4.376790217871354
118,1.8641190939197056,-2.6101303966468548,2.1932340094540788,4.587414670499456
119,1.7867151850087366,-2.2851703458604207,1.7602074492216735,4.768556109106969
120,1.61551466046768,-1.8533408067682173,1.2991308017424692,4.9237776079381375
121,1.343925060784473,-1.3665174317824538,0.8350010855935925,5.0542385258755
122,1.0029288013447777,-0.8759793689353358,0.39453461510428706,5.1601375668736225
123,0.6489305954150013,-0.42088528825374066,0.0001520193210775983,5.240790823705396
124,0.3273083635092026,-0.027567195448911494,-0.33377515189374757,5.2957888721212925
125,0.05651490938886952,0.2886051518526956,-0.6004698134779476,5.3259877162949225
126,-0.16028479632681597,0.5231377488983187,-0.7973083832241378,5.334527108085417
127,-0.31293429704574055,0.6813144152310073,-0.9257423546355593,5.328655174242109
128,0.015840754931369397,-0.4061736791382881,-0.3059900765478068,-0.18821989163362832
129,-0.1329886919753052,-0.9171786309399772,-0.7314486578736711,-0.5253546941157431
130,-0.3444173244307121,-1.654596424168578,-1.3482569357595549,-1.0298592666360342
131,-0.6176514061875918,-2.62045629210066,-2.1560144295339136,-1.6968738611587426
132,-0.9646350826738961,-3.7954482918778663,-3.1368804556563,-2.505112757370213
133,-1.3847507724822927,-5.141838709869554,-4.25148092473176,-3.4217582244172844
134,-1.8543637183685653,-6.609763831469831,-5.44604641185574,-4.404524704539173
135,-2.339872655115401,-8.144308584691812,-6.669574417669181,-5.404167785877479
136,-2.8243902414881297,-9.693841232222344,-7.8889509164562455,-6.371456163146871
137,-3.308258611227961,-11.222507805370526,-9.099401041389024,-7.266828786818657
138,-3.7881606484313495,-12.728263126840387,-10.329089777669052,-8.070373636362797
139,-4.253504297325146,-14.197508919641141,-11.592723537951919,-8.765880427176137
140,-4.694549770446136,-15.614965541489187,-12.89264170118615,-9.360196956479157
141,-5.1042305006494715,-16.957460336566363,-14.222839045653396,-9.874698243772134
142,-5.468044903887482,-18.196978499476824,-15.568339672223006,-10.323324912724248
143,-5.749409390668977,-19.307131457841173,-16.90233142190149,-10.701559693416002
144,-5.8924926181579735,-20.265594914247988,-18.18160136322406,-10.992125621260687
145,-5.862380705014648,-21.060016693001675,-19.333160995507505,-11.182708432130841
146,-5.685261957206366,-21.692352102465826,-20.268534285968304,-11.275400954070317
147,-5.435637045142676,-22.17383725284815,-20.926888905543958,-11.281552918206033
148,-5.184423750491907,-22.520789161407944,-21.296206231114127,-11.218390625747283
149,-4.974470464499875,-22.756448397507324,-21.39881120506031,-11.11110552234122
150,-4.860953738070998,-22.913135406478293,-21.268551774533705,-10.999755421543728
151,-4.944785986906384,-23.03222657731701,-20.930820484652536,-10.947217355134883
152,-5.34960906113966,-23.1616404902732,-20.39576061894419,-11.038208125976425
