,TP9,AF7,AF8,TP10
0,0.1590141690865518,-0.06985810805477496,-0.6514728403378574,-0.2630953404090144
1,0.21105804472045667,-0.19867725456953741,-1.4611831278597394,-0.6262691559537863
2,0.23601854008004616,-0.3959376297143353,-2.634467682596754,-1.1628049347953548
3,0.20047735825307048,-0.6698194501703165,-4.177930864619756,-1.8791750316569151
4,0.0734800707884039,-1.0293967499012247,-6.0590255934815085,-2.762377679978224
5,-0.1636149148175513,-1.482498650543052,-8.211548882664175,-3.782837510613401
6,-0.5177055527703469,-2.031815352798007,-10.545069389891054,-4.901003065819378
7,-0.9888096870816004,-2.6736833408041742,-12.959862821405716,-6.074966547792168
8,-1.571872876181891,-3.3983739394183274,-15.367487044129538,-7.270053556119984
9,-2.254343073090181,-4.191247452388017,-17.714742482557693,-8.46755769442541
10,-3.0122059661335103,-5.035440396242983,-20.009554470005526,-9.674075761236207
11,-3.827202717048918,-5.902782734147881,-22.245833059132078,-10.889111480178784
12,-4.689794870361421,-6.756987683201393,-24.422500469392705,-12.1129344758983
13,-5.599604038098873,-7.559972052756144,-26.540633285872655,-13.345986496229346
14,-6.554046287504782,-8.278183714143996,-28.601384281911898,-14.58449650249305
15,-7.536404901498704,-8.887225192277885,-30.604536244362002,-15.814137990100969
16,-8.529332146392948,-9.377010244113073,-32.545079241816055,-17.011852373537845
17,-9.533462748980705,-9.757282293847915,-34.40652811811335,-18.153143911049124
18,-10.559641283097134,-10.054406863798691,-36.158575498998935,-19.214576585411844
19,-11.610026720557148,-10.292691090188503,-37.76522209717081,-20.174670842821023
20,-12.669907723775095,-10.488507858020736,-39.196962090221476,-21.015653379104066
21,-13.715584447179808,-10.666952928101095,-40.43404202073034,-21.722474750660393
22,-14.723405435944874,-10.86733445001047,-41.4633523056615,-22.281068131297083
23,-15.670977489374643,-11.129844410126193,-42.27775524844607,-22.678996233838827
24,-16.534973269204155,-11.47947112512254,-42.875216170022675,-22.909835505662645
25,-17.29004162215205,-11.918974241407684,-43.25750004645705,-22.977790192734243
26,-17.910523056966916,-12.432931513141428,-43.43356446106875,-22.89870516930244
27,-18.378777450216504,-12.993968686506763,-43.42376935682596,-22.697738632341498
28,-18.69517897208419,-13.56741714150576,-43.25752002640037,-22.405602475496224
29,-18.874572306282744,-14.114038085114975,-42.96646774493746,-22.052153445394882
30,-18.934540667821935,-14.590655021491397,-42.578767727737166,-21.65779144213715
31,-18.88950240969815,-14.953574535060783,-42.114022634058436,-21.229770820659954
32,-18.758943480736765,-15.165344042564278,-41.577675680085406,-20.76406281339086
33,-18.568914978902352,-15.19993584501743,-40.965173254166025,-20.25055271034372
34,-18.332206410034395,-15.046933263909823,-40.27515402546457,-19.679382967772906
35,-18.043993452674318,-14.716024645143609,-39.510890226710615,-19.04635336558862
36,-17.69727731845231,-14.241936869380373,-38.67169694490435,-18.355274324880316
37,-17.292984867280083,-13.676227421328637,-37.753547476318424,-17.615493372812463
38,-16.84324582930284,-13.060883654830244,-36.756814869092324,-16.84327232364911
39,-16.363997469587847,-12.420309432397396,-35.688233729733675,-16.063031660612896
40,-15.860388368703681,-11.776352383459457,-34.55914064724976,-15.301329392053388
41,-15.32004172040558,-11.153212474991454,-33.38418998434615,-14.581366189817293
42,-14.727265667290602,-10.570279274207472,-32.177075756756615,-13.920018105993377
43,-14.08211136534586,-10.035838139173425,-30.945860094688715,-13.32596276341066
44,-13.399307407287326,-9.547572101487342,-29.691348765263317,-12.800197177024819
45,-12.693695598507583,-9.097836047749603,-28.408532618326365,-12.338068719430213
46,-11.972233680767495,-8.678704993751065,-27.09108475154627,-11.935168172112705
47,-11.245392035556078,-8.2857124425469,-25.736752656969283,-11.596066864150245
48,-10.540066419327784,-7.919260028482206,-24.352481587607354,-11.332551174739837
49,-9.89272699378365,-7.582316289208983,-22.95690792927297,-11.152248146847969
50,-9.33035434444858,-7.278168254721154,-21.5763971152574,-11.050749082659225
51,-8.859444826507897,-7.011467059078616,-20.23689177097022,-11.0078992197761
52,-8.472504003473619,-6.789498801716961,-18.961383179407694,-10.992418122210559
53,-8.158660852693108,-6.624212822629448,-17.77240358377299,-10.973943549640964
54,-7.907532419874807,-6.532449443807425,-16.689786406034795,-10.929297616772493
55,-7.702083394414024,-6.529804218746856,-15.723205444740996,-10.840654798133928
56,-7.511922146679953,-6.623165829241386,-14.86895541113623,-10.691603343081383
57,-7.307833133524627,-6.806915991743651,-14.116008928094896,-10.467517769059096
58,-7.080309220109428,-7.063914468613276,-13.451780361363234,-10.158708670119156
59,-6.837379959438599,-7.369510746536566,-12.865880423400029,-9.762270041386905
60,-6.584832177448478,-7.696447476790601,-12.356249827875683,-9.282732486430211
61,-6.314446546421189,-8.016985563660867,-11.930548200555194,-8.731278627435492
62,-6.011933422606851,-8.3018088380989,-11.602003591547133,-8.122938489729776
63,-5.669723831930871,-8.523781523252211,-11.384201566452072,-7.472089971876696
64,-5.295227426811376,-8.665238862628446,-11.283572532113714,-6.789826990120932
65,-4.89972292811908,-8.722120381404707,-11.29176599954738,-6.084214313388665
66,-4.485092927309955,-8.705129788822996,-11.381814316650914,-5.361795585173257
67,-4.053074690975383,-8.637846580654323,-11.51013968783205,-4.629165136112257
68,-3.6178224371137717,-8.549928370321831,-11.623164838810425,-3.8939237843749868
69,-3.2080878759872604,-8.467259914347226,-11.666304759856661,-3.1670338882479734
70,-2.85232821427818,-8.403568553725966,-11.595455334751605,-2.4650005163187045
71,-2.5615685583502317,-8.358493224024842,-11.385541051326218,-1.808314229297995
72,-2.3347706807722375,-8.324767371366754,-11.03160821362731,-1.2174943673071426
73,-2.1788513730657666,-8.296980353302214,-10.546295044592336,-0.7118207623599478
74,-2.1149442602101853,-8.2729815495975,-9.95213546440577,-0.31211209590393585
75,-2.1632664984204655,-8.251092203865019,-9.27446776611787,-0.04147304311688333
76,-2.326157015920227,-8.22851307439975,-8.543829478523932,0.08154623675102056
77,-2.5795436178465048,-8.19965149122665,-7.793743266474884,0.05439354863794685
78,-2.888785731191533,-8.156469344782806,-7.049147314295629,-0.10480505366294329
79,-3.231064205461973,-8.093458052840916,-6.319590217641384,-0.36376371188678874
80,-3.5899743356113976,-8.010375227254936,-5.5999589048792835,-0.6869152740691962
81,-3.9425393277361174,-7.909700319295385,-4.87474175134465,-1.045099748072149
82,-4.264902923841233,-7.795700241325437,-4.125026182360878,-1.4219953943357304
83,-4.55335813885298,-7.676594948551171,-3.3356671544517074,-1.8155609578487835
84,-4.829652150706046,-7.5643252722038845,-2.4966644962358013,-2.2324055197497232
85,-5.119337694763303,-7.470940846458551,-1.5988414954222843,-2.677918443597651
86,-5.43484757972919,-7.406230884748754,-0.6340509498993887,-3.149991684413191
87,-5.777634041104701,-7.377157467954244,0.4000256162074244,-3.639733650426028
88,-6.149161491324257,-7.386322322357247,1.4976994957207808,-4.135767459782109
89,-6.550877771490241,-7.4300068779866,2.6436279956402116,-4.626450553736674
90,-6.969582211416482,-7.497411712210819,3.8103310521273572,-5.096303507491318
91,-7.367234678995903,-7.572379313956098,4.963517507351846,-5.518238003679212
92,-7.685903224143196,-7.638230472072619,6.076552874245793,-5.854116282176779
93,-7.874899989853089,-7.683482463549419,7.13645686481865,-6.069760291671792
94,-7.921938237316932,-7.704860592307741,8.13449835301297,-6.153052402166929
95,-7.846811790462094,-7.706243917054058,9.055539755397724,-6.11597703985324
96,-7.668038120603823,-7.694715985972514,9.877126044896295,-5.978765548985787
97,-7.3971083995174745,-7.677326292772314,10.576937258941884,-5.761262190926065
98,-7.055631951470378,-7.660641090779383,11.140334715270416,-5.487528723097957
99,-6.678989558127038,-7.651387720991279,11.564576045679562,-5.187746360680318
100,-6.304707797640794,-7.655559337520681,11.860224896194026,-4.894586344539051
101,-5.957620798810109,-7.67356304254135,12.043579608717042,-4.63794240912209
102,-5.646071902535941,-7.697220287578636,12.125280361392278,-4.43934747534929
103,-5.367177069422558,-7.7143261198530135,12.108293012772938,-4.307284143272703
104,-5.105044131110913,-7.7149478170313595,11.991375285333921,-4.237817826450657
105,-4.825694224666899,-7.695309309734548,11.771787466661522,-4.219986418652632
106,-4.480173176288825,-7.659149265719822,11.445995507317154,-4.238642771330559
107,-4.015844281038097,-7.615618244899151,11.008714701834212,-4.276932815210671
108,-3.391455277447706,-7.574523594518155,10.455504331401443,-4.31968245054575
109,-2.5874451822581728,-7.543425589126628,9.788404682144648,-4.352820330998286
110,-1.6054140477175112,-7.52829359122581,9.024734953436326,-4.358350722583085
111,-0.45385039653755715,-7.535848374345706,8.20747402117702,-4.311201285939359
