,TP9,AF7,AF8,TP10
0,0.14628754103523856,-0.23339770085835715,-0.505762814061923,-0.14675631110132475
1,0.08863825638248454,-0.640379609407288,-1.2151414978539379,-0.47761382138847774
2,-0.010503844341323898,-1.2550306340674706,-2.2403794540232957,-0.9550815105050758
3,-0.15277768328862107,-2.0919517068446436,-3.5803811270105026,-1.599326802973371
4,-0.35392278454484666,-3.146841105507405,-5.205721967663912,-2.416003750765281
5,-0.6269777667829686,-4.389666762703722,-7.060183845470002,-3.3834127591855463
6,-0.9749366081723205,-5.770821828795747,-9.067961881314194,-4.459565277164453
7,-1.3976746485410116,-7.240739103488013,-11.147769409522226,-5.602142948899093
8,-1.9058866114908237,-8.759172574643891,-13.227754053497842,-6.777692480361297
9,-2.518963654980296,-10.292068088120914,-15.258323395246807,-7.959282465672154
10,-3.2446076125577523,-11.816258749026389,-17.22674378058759,-9.12847756685217
11,-4.076777182411743,-13.302731997502518,-19.107246883395113,-10.277370121483782
12,-5.016001324575785,-14.73607638037084,-20.88642819481514,-11.408370997997517
13,-6.08237867403726,-16.109804683732133,-22.556556038507267,-12.519423644064249
14,-7.279309415626036,-17.418956728150192,-24.103586456169815,-13.594411367595667
15,-8.568575825848736,-18.66050775974103,-25.508192046221204,-14.603986959092193
16,-9.89396928399464,-19.836898832518138,-26.754156643298774,-15.525975831198743
17,-11.22624748768471,-20.955872039922493,-27.833202456022555,-16.377381107396328
18,-12.575977192168377,-22.02561444319555,-28.748152908046272,-17.200130049438638
19,-13.957919791084224,-23.048988166966385,-29.511272893253526,-18.014263311705886
20,-15.366240867351177,-24.020959325250047,-30.13720737782577,-18.804885938786764
21,-16.773292925392333,-24.934988294374502,-30.637115445511824,-19.551068047383126
22,-18.143590305407827,-25.792990259295443,-31.017427267360546,-20.250435816614896
23,-19.447930489924133,-26.600159082846716,-31.283516718776117,-20.90752965367601
24,-20.664259359987952,-27.346269160468047,-31.435234849012875,-21.511609485746305
25,-21.764333872728763,-27.999842125302056,-31.45915990325295,-22.034840563797484
26,-22.696038908008532,-28.530036147675943,-31.336830758839817,-22.45036984035872
27,-23.407719625824978,-28.927097110871998,-31.056944501862933,-22.747404045529123
28,-23.882088197690187,-29.193765854389056,-30.61604529493268,-22.921646930997486
29,-24.128373326910786,-29.3266903168684,-30.011988623457263,-22.949987654625318
30,-24.153953733010898,-29.3125391728706,-29.248522221216398,-22.785055952646225
31,-23.950421328036594,-29.138385401862585,-28.35043506081337,-22.389976189754183
32,-23.518198290114093,-28.798803690930036,-27.363201301834188,-21.774268161994765
33,-22.89217428246278,-28.29512235140349,-26.338133419638066,-20.980476285717216
34,-22.133414354902957,-27.635024831494178,-25.31990471047928,-20.039363231761016
35,-21.294066873061873,-26.833151387169064,-24.33603290878306,-18.959357237539997
36,-20.39100523941116,-25.910427598153138,-23.392605637108424,-17.76309182644562
37,-19.421428440382503,-24.891517817344,-22.482224935852646,-16.508148887164847
38,-18.38552797301377,-23.801785116151027,-21.59386411450925,-15.258874749082167
39,-17.293423521078083,-22.659546287008162,-20.71460615810191,-14.046149329264818
40,-16.152957181219985,-21.472266808375796,-19.826151254733926,-12.8679268339989
41,-14.95361361152215,-20.24902132089285,-18.913230961407415,-11.719285018665708
42,-13.685990855119316,-19.011170935707923,-17.982295077081226,-10.61030110923516
43,-12.380687311816281,-17.78393050322063,-17.061750119258424,-9.567852194202569
44,-11.11284569212867,-16.57847049597692,-16.18581248413529,-8.623552541664298
45,-9.952746199384137,-15.393633090043755,-15.385870880006985,-7.805260692243857
46,-8.925008079937726,-14.234194887124815,-14.686873986139606,-7.144940480098469
47,-8.0304757666236,-13.114719093810168,-14.103583749677195,-6.6781147416853
48,-7.286601528480807,-12.05027549073853,-13.63950443411109,-6.425552774444154
49,-6.729545038821833,-11.050200586570055,-13.286242112893552,-6.368330541321024
50,-6.377403776518102,-10.12088056433442,-13.025200929407266,-6.445538023048364
51,-6.2111954993208105,-9.268253449017362,-12.832927045315213,-6.586248053515603
52,-6.1974747376097525,-8.49376491972628,-12.687124456521246,-6.736362644338481
53,-6.316968350195915,-7.79275692248399,-12.569076358052628,-6.862407181390146
54,-6.567987617434443,-7.1572617997913985,-12.458559810589872,-6.9438683428695125
55,-6.942433241711297,-6.578165258774186,-12.32844819587774,-6.973100048852228
56,-7.40915386023639,-6.047735593164416,-12.148521923539109,-6.96171203922524
57,-7.9257692282323875,-5.562332990389517,-11.896802277395924,-6.938694585749072
58,-8.467658723257943,-5.118196783585341,-11.567773772229376,-6.945980069410618
59,-9.033750674922661,-4.704450774088761,-11.163769671467422,-7.022389183289705
60,-9.613293280965648,-4.306996410024858,-10.68434419367236,-7.175663448471659
61,-10.162003428535536,-3.9185715695990444,-10.129979259334545,-7.3768238751120965
62,-10.620532231670468,-3.5387431440495694,-9.506548645670657,-7.584787109630673
63,-10.950421402522451,-3.165469071995304,-8.825662440778475,-7.769583912861046
64,-11.136202138869963,-2.7927247197474565,-8.10383351025228,-7.914874462897126
65,-11.157837089305499,-2.415393866680415,-7.360144493603415,-8.0108714024648
66,-10.988354273213384,-2.030226064882064,-6.61343159285327,-8.047014585616676
67,-10.613582227727475,-1.636150143490782,-5.885692859764337,-8.023876152628604
68,-10.046441473961995,-1.240555875878271,-5.208450544513234,-7.972530779430304
69,-9.329930452657234,-0.8610630561262368,-4.615298403717413,-7.9332913135709555
70,-8.53403680851574,-0.5166258277207967,-4.130077815333789,-7.918335162355565
71,-7.734812021933352,-0.2148611242831745,-3.7631492371706923,-7.907296041932956
72,-6.977358959126304,0.05165224018458689,-3.509520928697125,-7.867965931459278
73,-6.279184922699693,0.29720963668679823,-3.3495685744161308,-7.774578791525461
74,-5.657790235006862,0.5355321608683122,-3.25148818773361,-7.608412368666149
75,-5.130700690280388,0.7772866354810091,-3.1739182147446696,-7.340393576344887
76,-4.708678488384005,1.029476252525305,-3.0757646829754,-6.929621207811949
77,-4.401579205070216,1.2926005022721418,-2.933410936436275,-6.367524914338197
78,-4.224332951890653,1.5545170355264104,-2.7479284415188676,-5.713315905474137
79,-4.187694784824672,1.7924292673987339,-2.538426808152418,-5.065613578223909
80,-4.278741417490404,1.9819827443959708,-2.3331998142241877,-4.511377084210137
