timestamps,TP9,AF7,AF8,TP10,Right AUX
1727669903.061,-37.598,-35.156,-31.250,-56.152,0.000
1727669903.064,-38.574,-13.184,-32.227,-41.016,0.000
1727669903.068,-66.895,-6.836,-41.992,-20.020,0.000
1727669903.072,-102.051,-15.625,-50.781,-37.598,0.000
1727669903.076,-68.359,-22.949,-34.180,-49.805,0.000
1727669903.080,-5.371,-12.695,-22.949,-38.086,0.000
1727669903.084,3.906,2.930,-30.762,-14.160,0.000
1727669903.088,-45.410,4.395,-41.504,-3.418,0.000
1727669903.092,-100.586,-2.930,-54.199,-38.086,0.000
1727669903.096,-66.406,-9.766,-39.062,-49.805,0.000
1727669903.100,17.578,-4.883,-20.020,-26.855,0.000
1727669903.103,6.348,-0.488,-34.668,-39.062,0.000
1727669903.107,-67.871,-4.395,-55.176,-48.828,0.000
1727669903.111,-100.098,-1.953,-55.176,-45.898,0.000
1727669903.115,-82.520,-13.672,-41.504,-65.430,0.000
1727669903.119,-31.250,-14.160,-30.762,-60.059,0.000
1727669903.123,-23.438,1.953,-31.250,-40.039,0.000
1727669903.127,-67.871,-1.465,-41.016,-30.762,0.000
1727669903.131,-102.051,-7.324,-48.828,-28.809,0.000
1727669903.135,-85.938,-11.230,-39.551,-46.387,0.000
1727669903.139,-41.504,-4.883,-29.297,-57.617,0.000
1727669903.143,-23.438,-3.418,-23.438,-31.250,0.000
1727669903.146,-56.641,-10.742,-33.203,-13.184,0.000
1727669903.150,-110.840,-14.648,-48.340,-31.250,0.000
1727669903.154,-99.121,-21.484,-32.227,-49.316,0.000
1727669903.158,-29.785,-11.719,-17.090,-39.551,0.000
1727669903.162,-8.789,4.395,-22.949,-37.109,0.000
1727669903.166,-48.340,2.441,-36.133,-41.992,0.000
1727669903.170,-88.379,-2.930,-46.875,-44.434,0.000
1727669903.174,-72.754,-8.789,-37.109,-41.504,0.000
1727669903.178,-25.879,-15.137,-25.391,-51.270,0.000
1727669903.182,-24.414,-22.461,-32.715,-65.430,0.000
1727669903.185,-52.734,-16.113,-35.645,-49.316,0.000
1727669903.189,-87.402,-11.719,-43.945,-36.621,0.000
1727669903.193,-102.051,-24.902,-45.898,-54.199,0.000
1727669903.197,-58.105,-27.832,-23.926,-67.383,0.000
1727669903.201,-13.184,-16.602,-16.113,-48.828,0.000
1727669903.205,-37.109,-13.672,-35.645,-41.992,0.000
1727669903.209,-111.328,-22.461,-59.570,-55.176,0.000
1727669903.213,-127.930,-29.785,-54.688,-77.637,0.000
1727669903.217,-62.500,-17.090,-35.645,-75.195,0.000
1727669903.221,-26.855,-20.020,-41.992,-56.641,0.000
1727669903.225,-52.246,-40.039,-54.199,-48.828,0.000
1727669903.228,-100.098,-32.227,-62.500,-53.711,0.000
1727669903.232,-109.863,-16.113,-63.477,-63.477,0.000
1727669903.236,-59.570,-17.090,-50.293,-62.500,0.000
1727669903.240,-29.297,-17.090,-47.363,-65.918,0.000
1727669903.244,-40.039,-4.395,-53.223,-54.688,0.000
1727669903.248,-83.008,-0.977,0.000,-38.574,0.000
1727669903.252,-110.840,-3.906,0.000,-51.270,0.000
1727669903.256,-75.195,-19.043,0.000,-67.871,0.000
1727669903.260,-23.438,-23.438,0.000,-62.988,0.000
1727669903.264,-23.926,-16.602,0.000,-44.922,0.000
1727669903.268,-74.219,-0.488,0.000,-34.180,0.000
1727669903.271,-112.793,3.906,0.000,-58.594,0.000
1727669903.275,-80.566,-4.395,0.000,-80.078,0.000
1727669903.279,-18.066,0.488,0.000,-49.316,0.000
1727669903.283,-31.250,-1.953,0.000,-31.250,0.000
1727669903.287,-101.074,-16.113,0.000,-56.641,0.000
1727669903.291,-125.977,-27.344,0.000,-65.918,0.000
1727669903.295,-88.867,-28.320,-57.129,-68.359,0.000
1727669903.299,-40.039,-25.391,-47.363,-69.336,0.000
1727669903.303,-39.062,-20.996,-59.570,-61.523,0.000
1727669903.307,-76.172,-17.578,-74.707,-50.293,0.000
1727669903.310,-104.492,-24.414,-76.660,-60.059,0.000
1727669903.314,-82.520,-10.254,-60.547,-73.730,0.000
1727669903.318,-34.180,-4.395,-48.828,-61.035,0.000
1727669903.322,-22.461,-16.602,-52.734,-47.363,0.000
1727669903.326,-62.500,-13.184,-61.523,-36.133,0.000
1727669903.330,-119.141,-10.254,-71.289,-57.129,0.000
1727669903.334,-111.816,-15.625,-65.918,-85.449,0.000
1727669903.338,-41.016,-20.508,-52.246,-72.266,0.000
1727669903.342,-20.020,-18.555,-53.711,-54.688,0.000
1727669903.346,-73.242,-22.949,-69.336,-48.828,0.000
1727669903.350,-114.258,-26.367,-78.125,-50.781,0.000
1727669903.353,-97.168,-21.973,-68.359,-59.570,0.000
1727669903.357,-48.828,-22.461,-57.129,-66.406,0.000
1727669903.361,-28.320,-22.461,-53.223,-62.988,0.000
1727669903.365,-72.266,-23.438,-63.965,-60.547,0.000
1727669903.369,-103.027,-15.625,-77.148,-44.922,0.000
1727669903.373,-97.656,-13.672,-65.918,-54.688,0.000
1727669903.377,-62.988,-20.020,-49.805,-81.055,0.000
1727669903.381,-20.508,-11.230,-42.480,-62.988,0.000
1727669903.385,-49.805,1.953,-49.316,-50.781,0.000
1727669903.389,-98.633,-0.488,-62.012,-45.898,0.000
1727669903.393,-101.074,-14.648,-56.152,-59.082,0.000
1727669903.396,-43.945,-7.812,-41.016,-57.129,0.000
1727669903.400,5.859,2.441,-41.992,-44.434,0.000
1727669903.404,-26.367,2.930,-50.781,-37.598,0.000
1727669903.408,-78.613,-2.441,-63.477,-31.738,0.000
1727669903.412,-75.684,1.465,-58.105,-34.668,0.000
