timestamps,TP9,AF7,AF8,TP10,Right AUX
1727423254.304,-47.363,-20.996,-48.828,-59.570,0.000
1727423254.308,-91.797,-22.949,-55.664,-78.125,0.000
1727423254.312,-79.102,-14.160,-65.918,-76.172,0.000
1727423254.316,-38.574,-16.113,-69.824,-67.871,0.000
1727423254.320,-16.113,-25.391,-76.660,-67.383,0.000
1727423254.324,-47.852,-32.227,-85.938,-74.219,0.000
1727423254.328,-95.215,-20.020,-92.773,-87.891,0.000
1727423254.331,-89.355,-2.441,-99.609,-85.938,0.000
1727423254.335,-43.457,12.695,-103.516,-78.613,0.000
1727423254.339,-16.602,8.789,-104.980,-72.266,0.000
1727423254.343,-30.762,-4.883,-105.957,-71.777,0.000
1727423254.347,-71.289,-4.395,-111.816,-88.867,0.000
1727423254.351,-90.820,-5.859,-117.188,-100.586,0.000
1727423254.355,-51.758,-3.418,-114.746,-84.961,0.000
1727423254.359,-12.695,-3.418,-107.910,-66.406,0.000
1727423254.363,-18.066,-9.766,-103.516,-62.012,0.000
1727423254.366,-54.688,-8.301,-104.980,-66.406,0.000
1727423254.370,-67.871,-14.648,-105.957,-74.219,0.000
1727423254.374,-23.926,-1.953,-111.328,-59.082,0.000
1727423254.378,16.602,17.090,-108.887,-38.574,0.000
1727423254.382,15.137,8.789,-104.004,-44.922,0.000
1727423254.386,-11.719,5.371,-88.379,-39.062,0.000
1727423254.390,-33.203,6.348,-74.219,-33.691,0.000
1727423254.394,-9.277,6.348,-80.566,-33.203,0.000
1727423254.397,25.391,-1.465,-75.684,-28.809,0.000
1727423254.401,21.973,-7.324,-69.824,-31.738,0.000
1727423254.405,-11.719,-9.277,-69.824,-36.133,0.000
1727423254.409,-41.504,-5.859,-66.895,-36.621,0.000
1727423254.413,-24.902,1.465,-62.500,-27.832,0.000
1727423254.417,24.902,-6.836,-51.758,-7.812,0.000
1727423254.421,33.691,-9.766,-45.410,5.859,0.000
1727423254.425,-16.113,-15.137,-57.129,-12.207,0.000
1727423254.429,-53.711,-19.531,-61.523,-40.039,0.000
1727423254.432,-33.203,-9.277,-56.152,-36.621,0.000
1727423254.436,12.695,4.395,-51.758,-25.879,0.000
1727423254.440,15.625,-3.418,-53.711,-35.156,0.000
1727423254.445,-26.855,-40.527,-61.035,-35.156,0.000
1727423254.448,-62.988,-49.805,-63.477,-41.016,0.000
1727423254.452,-41.992,-25.391,-59.570,-37.109,0.000
1727423254.456,0.000,-18.066,-56.152,-21.973,0.000
1727423254.460,6.836,-21.973,-56.152,-17.578,0.000
1727423254.464,-27.832,-20.020,-60.059,-15.137,0.000
1727423254.468,-56.641,-21.973,-57.617,-31.738,0.000
1727423254.472,-37.109,-19.043,-52.246,-33.691,0.000
1727423254.476,4.395,-19.531,-54.199,-22.461,0.000
1727423254.480,25.391,-30.762,-55.664,-19.043,0.000
1727423254.484,-7.812,-31.250,-55.176,-21.973,0.000
1727423254.488,-57.129,-26.367,-58.594,-35.156,0.000
1727423254.492,-53.711,-31.250,-60.059,-42.969,0.000
1727423254.496,-3.906,-28.320,-54.199,-30.762,0.000
1727423254.500,15.137,-18.555,-55.176,-22.949,0.000
1727423254.503,-10.742,-22.949,-62.500,-31.738,0.000
1727423254.507,-42.969,-20.508,-51.758,-40.039,0.000
1727423254.511,-49.316,-29.785,-45.898,-47.363,0.000
1727423254.515,-11.230,-35.156,-42.480,-35.156,0.000
1727423254.519,7.812,-38.086,-38.086,-29.785,0.000
1727423254.523,-17.090,-58.594,-29.297,-34.180,0.000
1727423254.527,-64.941,-54.688,-27.832,-34.180,0.000
1727423254.531,-78.613,-36.133,-35.156,-41.504,0.000
1727423254.535,-36.133,-37.109,-35.645,-38.086,0.000
1727423254.539,-5.371,-34.668,-38.574,-29.785,0.000
1727423254.543,-6.836,-18.066,-36.621,-22.949,0.000
1727423254.547,-41.016,-20.020,-35.645,-28.320,0.000
1727423254.551,-64.453,-30.273,-36.621,-41.504,0.000
1727423254.554,-29.785,-36.133,-29.297,-38.086,0.000
1727423254.558,1.465,-46.875,-35.645,-36.621,0.000
1727423254.562,-11.719,-57.617,-46.387,-41.016,0.000
1727423254.566,-47.852,-49.805,-52.734,-46.387,0.000
1727423254.570,-61.035,-24.902,-52.246,-50.293,0.000
1727423254.574,-36.133,-10.254,-41.016,-42.480,0.000
1727423254.578,-8.789,-19.043,-39.062,-39.062,0.000
1727423254.582,-10.254,-19.043,-39.062,-31.738,0.000
1727423254.586,-41.992,-15.137,-35.156,-25.879,0.000
1727423254.590,-66.406,-20.508,-41.504,-36.133,0.000
1727423254.594,-35.645,-35.645,-41.016,-37.598,0.000
1727423254.597,10.742,-49.805,-36.621,-14.160,0.000
1727423254.601,5.371,-47.852,-48.340,-20.020,0.000
1727423254.605,-43.457,-45.898,-57.617,-49.316,0.000
1727423254.609,-70.312,-42.480,-61.035,-65.918,0.000
1727423254.613,-43.457,-32.715,-62.012,-60.547,0.000
1727423254.617,-1.953,-24.414,-57.129,-42.969,0.000
1727423254.621,7.812,-29.297,-56.641,-37.109,0.000
1727423254.625,-22.461,-39.062,-63.965,-43.945,0.000
1727423254.629,-60.059,-41.016,-63.965,-44.922,0.000
1727423254.633,-42.969,-30.273,-50.781,-34.668,0.000
1727423254.636,5.859,-21.973,-43.945,-28.320,0.000
1727423254.640,11.719,-35.645,-44.922,-23.926,0.000
1727423254.644,-17.578,-49.805,-46.387,-16.113,0.000
1727423254.648,-62.500,-61.035,-53.711,-28.320,0.000
1727423254.652,-56.641,-52.734,-48.828,-33.691,0.000
1727423254.656,-11.719,-51.270,-42.969,-27.832,0.000
1727423254.660,-3.418,-63.477,-44.434,-20.020,0.000
1727423254.664,-25.879,-47.852,-40.039,-8.789,0.000
1727423254.668,-58.594,-42.480,-38.574,-13.184,0.000
1727423254.672,-65.430,-53.711,-43.945,-27.344,0.000
1727423254.676,-22.949,-61.523,-45.410,-20.508,0.000
1727423254.679,7.812,-66.895,-33.691,-0.977,0.000
1727423254.683,-11.230,-72.754,-38.574,-9.277,0.000
1727423254.687,-52.734,-58.594,-43.945,-30.273,0.000
1727423254.691,-59.570,-34.668,-41.016,-33.203,0.000
1727423254.695,-19.043,-34.180,-51.758,-31.250,0.000
1727423254.699,10.742,-39.551,-63.477,-43.457,0.000
