timestamps,TP9,AF7,AF8,TP10,Right AUX
1727534882.715,86.426,11.230,-14.648,32.227,0.000
1727534882.719,-26.367,17.578,-13.184,-5.859,0.000
1727534882.723,-161.621,12.695,-12.207,-73.242,0.000
1727534882.726,-67.383,6.836,-12.207,-50.293,0.000
1727534882.730,80.078,20.508,-7.324,8.301,0.000
1727534882.734,84.961,23.926,-5.859,15.137,0.000
1727534882.738,-7.812,22.461,-10.254,-13.672,0.000
1727534882.742,-157.227,22.949,-8.789,-68.848,0.000
1727534882.746,-69.824,24.902,-14.648,-34.180,0.000
1727534882.750,97.656,19.043,-17.090,25.391,0.000
1727534882.754,95.703,15.137,-12.207,24.414,0.000
1727534882.758,5.371,20.020,-15.137,-1.465,0.000
1727534882.762,-151.855,18.066,-16.602,-67.871,0.000
1727534882.765,-96.191,16.113,-10.254,-50.293,0.000
1727534882.769,85.938,21.973,-8.301,16.602,0.000
1727534882.773,110.840,19.043,-6.348,31.738,0.000
1727534882.777,23.926,13.672,-8.301,5.371,0.000
1727534882.781,-142.578,12.207,-26.367,-61.523,0.000
1727534882.785,-103.027,24.414,-53.711,-37.109,0.000
1727534882.789,91.309,31.738,-47.363,27.344,0.000
1727534882.793,119.629,13.672,-10.254,24.414,0.000
1727534882.797,36.621,5.371,6.348,-6.348,0.000
1727534882.801,-141.113,5.859,4.883,-69.824,0.000
1727534882.805,-164.062,-1.465,1.465,-75.195,0.000
1727534882.808,22.949,-1.953,-6.348,-0.977,0.000
1727534882.812,85.449,1.465,-7.324,15.137,0.000
1727534882.816,32.227,5.859,-5.371,-7.324,0.000
1727534882.820,-117.188,7.812,-5.371,-55.176,0.000
1727534882.824,-157.227,10.742,-4.883,-66.895,0.000
1727534882.828,32.227,16.113,2.930,14.160,0.000
1727534882.832,112.305,14.648,5.371,43.457,0.000
1727534882.836,65.918,8.789,1.953,8.301,0.000
1727534882.840,-76.172,-7.324,0.488,-51.270,0.000
1727534882.844,-160.156,-11.230,-14.160,-81.055,0.000
1727534882.848,1.465,6.348,-24.414,-21.973,0.000
1727534882.851,107.910,18.555,-31.250,16.113,0.000
1727534882.855,68.848,12.695,-27.832,-1.465,0.000
1727534882.859,-81.055,14.160,-4.883,-58.105,0.000
1727534882.863,-181.152,22.461,3.418,-88.867,0.000
1727534882.867,-19.531,19.531,13.672,-30.273,0.000
1727534882.871,105.957,12.695,12.695,6.836,0.000
1727534882.875,80.078,9.766,-0.488,-4.883,0.000
1727534882.879,-58.105,6.348,0.488,-50.781,0.000
1727534882.883,-187.012,7.812,7.324,-91.309,0.000
1727534882.887,-55.664,11.230,14.160,-30.762,0.000
1727534882.891,81.055,15.625,22.949,28.320,0.000
1727534882.894,65.430,17.090,17.090,20.020,0.000
1727534882.898,-45.898,12.695,-0.977,-15.625,0.000
1727534882.902,-182.129,6.836,-5.859,-76.660,0.000
1727534882.906,-69.824,2.441,-2.441,-37.598,0.000
1727534882.910,85.938,8.789,-4.395,24.414,0.000
1727534882.914,68.848,13.184,-7.324,5.371,0.000
1727534882.918,-43.945,4.883,-6.836,-47.852,0.000
1727534882.922,-193.848,-6.348,-2.930,-104.980,0.000
1727534882.926,-109.375,0.488,-1.953,-62.988,0.000
1727534882.930,64.941,7.812,-11.719,9.766,0.000
1727534882.933,81.055,10.742,-14.648,22.949,0.000
1727534882.937,-9.277,10.742,-5.859,-13.184,0.000
1727534882.941,-166.016,14.648,-1.465,-86.914,0.000
