timestamps,TP9,AF7,AF8,TP10,Right AUX
1727710646.144,-32.715,-21.973,-24.414,-44.922,0.000
1727710646.148,-36.621,-24.902,-26.367,-41.016,0.000
1727710646.152,-45.898,-28.320,-29.785,-36.621,0.000
1727710646.156,-49.805,-28.320,-32.227,-36.133,0.000
1727710646.160,-50.293,-30.273,-31.738,-36.133,0.000
1727710646.164,-46.387,-29.297,-25.879,-31.738,0.000
1727710646.168,-54.688,-30.762,-20.996,-25.391,0.000
1727710646.172,-65.430,-32.715,-25.391,-27.344,0.000
1727710646.176,-48.828,-32.227,-24.414,-37.598,0.000
1727710646.180,-31.738,-29.297,-22.949,-33.203,0.000
1727710646.183,-37.109,-27.832,-32.227,-30.762,0.000
1727710646.187,-51.270,-32.227,-35.645,-41.992,0.000
1727710646.191,-47.363,-31.738,-38.086,-48.828,0.000
1727710646.195,-28.320,-29.297,-41.016,-41.992,0.000
1727710646.199,-26.855,-31.250,-41.016,-42.480,0.000
1727710646.203,-41.992,-31.250,-43.457,-42.969,0.000
1727710646.207,-45.410,-28.320,-36.621,-33.691,0.000
1727710646.211,-34.180,-25.879,-35.645,-31.738,0.000
1727710646.215,-16.602,-24.902,-37.109,-26.855,0.000
1727710646.219,-14.160,-24.902,-36.133,-24.902,0.000
1727710646.222,-21.973,-29.785,-39.062,-31.738,0.000
1727710646.226,-30.762,-33.203,-41.504,-27.832,0.000
1727710646.230,-43.457,-28.320,-43.457,-26.855,0.000
1727710646.234,-36.133,-23.926,-40.039,-30.273,0.000
1727710646.238,-26.855,-27.344,-37.598,-27.344,0.000
1727710646.242,-31.738,-25.879,-36.133,-24.902,0.000
1727710646.246,-40.527,-24.414,-34.668,-30.762,0.000
1727710646.250,-41.992,-21.973,-35.156,-31.250,0.000
1727710646.254,-36.133,-18.555,-37.598,-37.598,0.000
1727710646.258,-19.531,-20.508,-36.133,-30.762,0.000
1727710646.262,-13.184,-21.484,-36.621,-24.414,0.000
1727710646.265,-26.367,-18.066,-40.527,-21.973,0.000
1727710646.269,-29.297,-20.020,-40.527,-25.391,0.000
1727710646.273,-20.996,-18.066,-41.016,-38.574,0.000
1727710646.277,-21.973,-16.602,-42.969,-31.738,0.000
1727710646.281,-25.879,-21.484,-38.574,-22.949,0.000
1727710646.285,-32.715,-22.461,-32.227,-19.043,0.000
1727710646.289,-40.039,-22.949,-35.156,-17.578,0.000
1727710646.293,-35.645,-27.832,-39.551,-27.832,0.000
1727710646.297,-21.973,-29.297,-33.203,-25.879,0.000
1727710646.301,-20.508,-23.926,-32.715,-27.344,0.000
1727710646.305,-33.203,-19.531,-35.156,-30.273,0.000
1727710646.308,-38.086,-20.020,-35.645,-30.273,0.000
1727710646.312,-31.250,-18.555,-35.645,-42.969,0.000
1727710646.316,-10.254,-15.625,-37.109,-42.480,0.000
1727710646.320,-6.836,-26.367,-38.086,-42.480,0.000
1727710646.324,-34.180,-31.250,-36.133,-42.480,0.000
1727710646.328,-58.105,-27.832,-37.109,-36.621,0.000
1727710646.332,-50.293,-29.297,-34.180,-45.898,0.000
1727710646.336,-31.738,-30.273,-34.668,-53.223,0.000
1727710646.340,-26.855,-32.715,-36.133,-50.781,0.000
1727710646.344,-39.551,-29.785,-39.551,-49.316,0.000
1727710646.348,-47.363,-24.902,-41.992,-47.852,0.000
1727710646.351,-39.551,-25.391,-41.504,-42.969,0.000
1727710646.355,-24.902,-32.227,-43.457,-40.527,0.000
1727710646.359,-17.090,-35.156,-41.016,-41.504,0.000
1727710646.363,-32.715,-30.762,-36.133,-36.621,0.000
1727710646.367,-53.711,-32.715,-36.621,-26.367,0.000
1727710646.371,-47.363,-33.203,-37.109,-32.227,0.000
1727710646.375,-21.484,-31.738,-38.574,-32.227,0.000
1727710646.379,-18.066,-31.738,-32.715,-28.809,0.000
1727710646.383,-32.715,-35.645,-29.785,-34.180,0.000
1727710646.387,-50.293,-36.133,-37.598,-29.785,0.000
1727710646.391,-51.758,-33.203,-39.551,-30.273,0.000
1727710646.394,-29.785,-34.668,-34.180,-34.668,0.000
1727710646.398,-21.484,-36.133,-30.762,-32.227,0.000
1727710646.402,-23.926,-33.203,-29.785,-20.020,0.000
1727710646.406,-37.598,-32.227,-30.273,-19.531,0.000
1727710646.410,-36.621,-31.250,-28.320,-21.484,0.000
1727710646.414,-15.137,-27.832,-26.367,-17.090,0.000
1727710646.418,-10.742,-29.297,-31.738,-27.832,0.000
1727710646.422,-19.043,-25.879,-36.621,-27.344,0.000
1727710646.426,-34.180,-22.461,-32.715,-21.484,0.000
1727710646.430,-39.062,-26.367,-30.762,-27.832,0.000
1727710646.434,-25.391,-26.855,-28.809,-23.926,0.000
1727710646.437,-16.602,-22.949,-20.996,-19.043,0.000
1727710646.441,-20.996,-26.855,-20.020,-24.414,0.000
1727710646.445,-32.715,-27.344,-27.344,-24.414,0.000
1727710646.449,-23.438,-16.602,-30.762,-23.926,0.000
1727710646.453,7.812,-14.648,-28.809,-4.883,0.000
1727710646.457,6.836,-19.043,-17.578,0.488,0.000
1727710646.461,-24.414,-26.855,-19.531,-26.367,0.000
1727710646.465,-39.551,-34.180,-26.367,-25.879,0.000
1727710646.469,-51.758,-33.203,-29.297,-32.715,0.000
1727710646.473,-40.039,-34.180,-28.320,-44.434,0.000
1727710646.476,-24.414,-35.645,-16.602,-38.574,0.000
1727710646.480,-33.203,-33.691,-22.461,-40.527,0.000
1727710646.484,-43.945,-33.691,-30.273,-44.922,0.000
1727710646.488,-56.152,-35.156,-27.344,-44.922,0.000
1727710646.492,-49.805,-30.273,-31.250,-45.410,0.000
1727710646.496,-36.621,-29.297,-28.320,-46.387,0.000
1727710646.500,-34.668,-29.785,-27.832,-38.086,0.000
1727710646.504,-41.504,-25.391,-36.133,-29.785,0.000
1727710646.508,-54.199,-23.926,-28.809,-40.039,0.000
1727710646.512,-43.945,-27.832,-26.855,-45.898,0.000
1727710646.516,-26.855,-29.785,-31.738,-35.156,0.000
