timestamps,TP9,AF7,AF8,TP10,Right AUX
1727413121.840,-87.402,-43.457,-33.691,-35.645,0.000
1727413121.844,-64.941,-40.527,-47.852,-39.551,0.000
1727413121.848,-4.395,-39.062,-59.570,-40.039,0.000
1727413121.852,10.742,-50.293,-60.547,-40.527,0.000
1727413121.856,-36.621,-53.223,-54.199,-36.133,0.000
1727413121.859,-93.750,-54.199,-59.570,-41.016,0.000
1727413121.863,-77.148,-49.316,-58.105,-40.527,0.000
1727413121.867,-3.906,-42.969,-47.363,-23.926,0.000
1727413121.871,28.320,-42.480,-38.086,-20.020,0.000
1727413121.875,-14.160,-36.133,-46.875,-28.320,0.000
1727413121.879,-76.660,-30.273,-53.223,-43.945,0.000
1727413121.883,-80.078,-39.551,-40.527,-42.480,0.000
1727413121.887,-6.348,-37.109,-36.621,-29.297,0.000
1727413121.891,45.898,-32.227,-39.062,-15.137,0.000
1727413121.895,-3.906,-35.645,-40.527,-6.836,0.000
1727413121.899,-69.336,-34.668,-39.062,-21.484,0.000
1727413121.902,-71.289,-25.391,-35.645,-32.715,0.000
1727413121.906,-8.301,-25.391,-34.180,-19.531,0.000
1727413121.910,37.109,-38.086,-37.598,-11.719,0.000
1727413121.914,5.859,-57.129,-38.086,-12.695,0.000
1727413121.918,-62.988,-59.570,-31.738,-31.738,0.000
1727413121.922,-80.078,-51.758,-33.691,-34.668,0.000
1727413121.926,-28.320,-51.758,-36.133,-24.902,0.000
1727413121.930,20.508,-61.035,-47.363,-10.254,0.000
1727413121.934,8.301,-55.664,-62.988,-3.906,0.000
1727413121.938,-59.570,-58.105,-55.664,-28.809,0.000
1727413121.941,-102.051,-67.871,-52.734,-51.758,0.000
1727413121.945,-60.547,-72.754,-52.734,-41.504,0.000
1727413121.949,0.977,-65.918,-46.875,-28.809,0.000
1727413121.953,-5.371,-59.570,-45.410,-31.250,0.000
1727413121.957,-68.848,-61.035,-53.223,-38.574,0.000
1727413121.961,-105.957,-60.547,-58.594,-53.223,0.000
1727413121.965,-57.617,-52.246,-49.316,-52.246,0.000
1727413121.969,15.625,-44.434,-45.410,-25.879,0.000
1727413121.973,16.602,-47.363,-59.082,-23.926,0.000
1727413121.977,-51.758,-55.176,-58.594,-46.387,0.000
1727413121.981,-87.402,-60.059,-50.293,-46.387,0.000
1727413121.984,-49.316,-63.965,-50.781,-30.273,0.000
1727413121.988,14.648,-68.359,-51.758,-26.855,0.000
1727413121.992,16.113,-57.129,-59.570,-29.297,0.000
1727413121.996,-43.457,-61.035,-55.664,-30.273,0.000
1727413122.000,-86.914,-60.547,-57.617,-37.598,0.000
1727413122.004,-67.383,-52.734,-57.617,-41.992,0.000
1727413122.008,-1.953,-62.012,-50.293,-33.203,0.000
1727413122.012,15.137,-55.664,-54.199,-29.297,0.000
1727413122.016,-36.133,-42.969,-66.406,-26.855,0.000
1727413122.020,-84.961,-37.598,-51.758,-26.367,0.000
1727413122.023,-67.383,-46.387,-41.016,-36.133,0.000
1727413122.027,0.000,-56.152,-45.410,-30.762,0.000
1727413122.031,20.020,-46.387,-41.504,-17.578,0.000
1727413122.035,-27.832,-41.504,-44.922,-21.484,0.000
1727413122.039,-81.055,-33.691,-47.852,-31.738,0.000
1727413122.043,-73.242,-19.043,-51.758,-32.227,0.000
1727413122.047,1.953,-36.133,-50.293,-10.254,0.000
1727413122.051,33.691,-49.316,-45.898,-18.066,0.000
1727413122.055,-9.766,-43.457,-50.781,-32.227,0.000
1727413122.059,-79.102,-40.527,-48.828,-36.621,0.000
1727413122.063,-79.102,-41.992,-39.551,-30.762,0.000
1727413122.067,-15.625,-39.062,-36.621,-22.461,0.000
1727413122.070,20.996,-35.156,-43.945,-21.484,0.000
1727413122.074,-6.836,-36.133,-43.945,-27.832,0.000
1727413122.078,-78.125,-32.715,-40.039,-40.527,0.000
1727413122.082,-89.355,-28.320,-41.992,-45.410,0.000
1727413122.086,-37.598,-29.297,-49.805,-41.504,0.000
1727413122.090,11.719,-31.738,-47.363,-30.273,0.000
1727413122.094,-4.883,-29.297,-42.969,-25.391,0.000
1727413122.098,-75.684,-35.645,-41.992,-33.203,0.000
1727413122.102,-98.633,-41.016,-38.086,-44.434,0.000
1727413122.106,-41.992,-47.363,-38.574,-32.715,0.000
1727413122.109,9.277,-53.223,-52.734,-25.391,0.000
1727413122.113,-9.277,-49.316,-57.617,-29.297,0.000
1727413122.117,-69.824,-42.969,-61.523,-41.504,0.000
1727413122.121,-93.750,-48.828,-64.453,-57.617,0.000
1727413122.125,-45.898,-51.270,-56.641,-45.898,0.000
1727413122.129,7.812,-48.828,-51.270,-33.691,0.000
1727413122.133,-3.906,-47.852,-51.270,-35.156,0.000
1727413122.137,-65.918,-41.992,-52.734,-47.852,0.000
1727413122.141,-102.051,-47.852,-54.199,-54.688,0.000
1727413122.145,-56.152,-47.852,-53.223,-37.598,0.000
1727413122.149,8.789,-42.480,-50.293,-22.949,0.000
1727413122.152,6.348,-53.223,-40.527,-15.625,0.000
1727413122.156,-54.688,-47.852,-23.926,-19.043,0.000
1727413122.160,-93.262,-40.039,-32.227,-39.551,0.000
1727413122.164,-47.852,-48.828,-42.969,-34.180,0.000
1727413122.168,18.066,-44.434,-39.062,-24.414,0.000
1727413122.172,13.184,-37.109,-36.133,-27.832,0.000
1727413122.176,-41.504,-46.875,-43.457,-29.785,0.000
1727413122.180,-83.496,-43.945,-56.152,-45.898,0.000
1727413122.184,-58.594,-39.551,-50.781,-50.781,0.000
1727413122.188,22.949,-43.945,-45.898,-26.855,0.000
1727413122.192,42.480,-34.668,-48.340,-10.742,0.000
1727413122.195,-8.301,-32.227,-39.062,-1.465,0.000
1727413122.199,-56.641,-32.715,-35.645,-2.930,0.000
1727413122.203,-39.062,-30.273,-30.762,-18.066,0.000
1727413122.207,27.832,-20.996,-30.273,-11.719,0.000
1727413122.211,49.805,-34.668,-41.504,-5.371,0.000
1727413122.215,9.277,-37.109,-51.270,-5.859,0.000
1727413122.219,-51.270,-26.367,-46.875,-15.137,0.000
1727413122.223,-52.734,-25.879,-40.039,-23.438,0.000
1727413122.227,15.137,-24.414,-39.062,-9.277,0.000
1727413122.231,50.293,-28.320,-34.180,-0.488,0.000
1727413122.234,6.836,-29.297,-29.785,-3.418,0.000
1727413122.238,-60.059,-37.598,-36.621,-12.695,0.000
1727413122.242,-69.336,-43.457,-37.598,-10.254,0.000
1727413122.246,-10.254,-34.180,-36.133,-16.602,0.000
1727413122.250,37.109,-36.621,-29.785,-10.742,0.000
1727413122.254,-1.953,-41.016,-22.461,-4.395,0.000
1727413122.258,-80.078,-33.691,-28.320,-29.785,0.000
1727413122.262,-76.172,-42.480,-25.391,-29.297,0.000
1727413122.266,-10.742,-42.480,-22.461,-18.066,0.000
1727413122.270,27.344,-38.086,-20.020,-12.207,0.000
1727413122.274,-5.859,-36.621,-25.879,-14.648,0.000
1727413122.277,-74.219,-34.668,-38.574,-33.203,0.000
1727413122.281,-91.797,-43.945,-43.945,-54.688,0.000
1727413122.285,-28.809,-50.781,-33.691,-48.340,0.000
1727413122.289,17.578,-41.016,-41.504,-29.297,0.000
1727413122.293,-13.184,-37.598,-57.129,-25.391,0.000
1727413122.297,-64.453,-44.434,-52.246,-34.180,0.000
1727413122.301,-79.590,-41.504,-52.246,-52.246,0.000
1727413122.305,-30.273,-44.922,-45.898,-41.504,0.000
1727413122.309,0.000,-52.246,-43.457,-23.438,0.000
1727413122.313,0.000,-52.734,-51.758,-23.438,0.000
1727413122.317,0.000,-45.898,-51.270,-38.574,0.000
1727413122.320,0.000,-35.645,-52.246,-51.270,0.000
1727413122.324,0.000,-46.387,-50.781,-42.969,0.000
1727413122.328,0.000,-36.133,-40.527,-17.578,0.000
1727413122.332,0.000,-22.949,-33.203,-1.465,0.000
1727413122.336,0.000,-38.574,-31.250,-17.090,0.000
1727413122.340,0.000,-54.688,-33.691,-33.203,0.000
1727413122.344,0.000,-54.688,-35.156,-19.043,0.000
1727413122.348,0.000,-54.199,-41.504,-7.812,0.000
1727413122.352,0.000,-51.270,-42.480,-9.766,0.000
1727413122.356,-43.457,-48.828,-38.086,-20.020,0.000
1727413122.359,-79.590,-45.898,-29.297,-26.367,0.000
1727413122.363,-38.086,-38.086,-29.785,-14.648,0.000
1727413122.367,16.113,-39.551,-39.062,-4.883,0.000
1727413122.371,27.832,-42.969,-32.227,-3.906,0.000
1727413122.375,-22.949,-34.180,-32.227,-5.859,0.000
1727413122.379,-86.914,-34.668,-45.898,-25.391,0.000
1727413122.383,-70.312,-50.293,-46.875,-41.016,0.000
1727413122.387,2.441,-55.664,-40.527,-28.809,0.000
1727413122.391,32.715,-50.293,-35.645,-13.672,0.000
1727413122.395,-28.809,-48.828,-39.062,-24.902,0.000
1727413122.399,-86.426,-48.828,-44.922,-38.086,0.000
1727413122.402,-55.176,-50.293,-45.410,-34.180,0.000
1727413122.406,16.113,-53.711,-38.086,-17.090,0.000
1727413122.410,37.598,-47.363,-43.457,-11.719,0.000
1727413122.414,-18.555,-39.062,-51.758,-18.066,0.000
1727413122.418,-73.730,-54.199,-48.340,-22.949,0.000
1727413122.422,-63.477,-61.523,-38.086,-16.602,0.000
1727413122.426,-1.465,-57.617,-31.738,-8.301,0.000
1727413122.430,33.691,-59.082,-35.156,-9.277,0.000
1727413122.434,-11.230,-56.152,-41.992,-16.113,0.000
1727413122.438,-93.262,-63.965,-43.945,-35.645,0.000
1727413122.441,-92.773,-65.430,-43.945,-40.527,0.000
1727413122.445,-20.508,-58.594,-46.875,-30.273,0.000
1727413122.449,7.812,-59.570,-47.852,-29.297,0.000
1727413122.453,-25.879,-57.129,-48.340,-30.762,0.000
1727413122.457,-85.449,-45.898,-53.711,-39.551,0.000
1727413122.461,-95.703,-46.875,-56.152,-47.852,0.000
1727413122.465,-36.621,-49.805,-52.734,-41.992,0.000
1727413122.469,19.531,-52.734,-54.688,-32.715,0.000
1727413122.473,-4.395,-56.152,-62.988,-28.809,0.000
1727413122.477,-71.777,-52.734,-59.082,-41.992,0.000
1727413122.481,-88.867,-57.129,-55.664,-57.129,0.000
1727413122.484,-31.250,-47.852,-63.477,-41.504,0.000
1727413122.488,25.391,-42.480,-57.129,-24.902,0.000
1727413122.492,10.254,-43.457,-45.410,-17.578,0.000
1727413122.496,-47.852,-26.855,-49.805,-19.531,0.000
1727413122.500,-78.125,-33.203,-36.621,-33.691,0.000
1727413122.504,-32.715,-41.504,-27.344,-31.738,0.000
1727413122.508,36.621,-36.133,-32.715,-4.883,0.000
1727413122.512,20.996,-33.203,-31.250,1.465,0.000
1727413122.516,-48.340,-32.715,-38.086,-18.066,0.000
1727413122.520,-83.008,-33.203,-41.992,-31.250,0.000
1727413122.524,-34.668,-28.320,-39.551,-19.043,0.000
1727413122.527,29.785,-26.855,-39.062,3.906,0.000
1727413122.531,13.672,-28.320,-41.016,-6.836,0.000
1727413122.535,-42.969,-32.715,-45.410,-21.973,0.000
1727413122.539,-75.684,-40.039,-43.945,-27.832,0.000
1727413122.543,-52.246,-42.969,-38.574,-29.297,0.000
1727413122.547,6.348,-45.898,-34.668,-17.090,0.000
1727413122.551,24.902,-44.434,-43.945,-16.602,0.000
1727413122.555,-36.133,-39.062,-45.410,-30.273,0.000
1727413122.559,-89.355,-46.387,-46.875,-44.434,0.000
1727413122.563,-66.406,-49.805,-50.293,-39.062,0.000
1727413122.567,-5.371,-48.340,-43.457,-28.320,0.000
1727413122.570,12.207,-45.410,-45.898,-19.531,0.000
1727413122.574,-40.039,-54.199,-46.387,-24.902,0.000
1727413122.578,-91.797,-66.895,-43.457,-47.363,0.000
1727413122.582,-75.195,-56.641,-42.480,-43.945,0.000
1727413122.586,1.465,-48.828,-51.270,-22.461,0.000
1727413122.590,17.090,-51.270,-61.035,-20.996,0.000
1727413122.594,-36.621,-51.758,-56.152,-31.250,0.000
1727413122.598,-86.426,-42.969,-52.246,-35.645,0.000
1727413122.602,-77.637,-44.922,-56.641,-39.062,0.000
1727413122.606,-9.766,-58.594,-57.617,-22.949,0.000
1727413122.609,18.066,-58.105,-56.152,-6.348,0.000
1727413122.613,-33.691,-57.617,-58.105,-20.996,0.000
1727413122.617,-89.844,-61.523,-60.547,-41.016,0.000
1727413122.621,-87.891,-51.270,-46.875,-49.316,0.000
1727413122.625,-20.020,-41.504,-46.875,-36.133,0.000
1727413122.629,27.832,-43.457,-49.316,-31.738,0.000
1727413122.633,-6.348,-39.062,-51.270,-34.668,0.000
1727413122.637,-66.895,-36.621,-51.270,-36.621,0.000
1727413122.641,-67.383,-38.574,-47.363,-40.039,0.000
1727413122.645,-8.301,-44.434,-40.527,-25.391,0.000
1727413122.649,35.156,-46.387,-42.480,-6.836,0.000
1727413122.652,13.184,-41.504,-50.781,-7.324,0.000
1727413122.656,-62.500,-39.062,-51.270,-26.855,0.000
1727413122.660,-87.891,-35.645,-49.805,-36.133,0.000
1727413122.664,-21.484,-45.410,-41.504,-19.531,0.000
1727413122.668,22.461,-60.547,-41.992,-18.555,0.000
1727413122.672,-0.488,-54.199,-57.617,-24.414,0.000
1727413122.676,-60.059,-40.527,-55.176,-29.785,0.000
1727413122.680,-87.402,-48.340,-46.875,-41.016,0.000
1727413122.684,-35.645,-47.363,-45.410,-39.062,0.000
1727413122.688,11.719,-38.574,-44.922,-31.250,0.000
1727413122.691,1.953,-51.270,-51.758,-21.973,0.000
1727413122.695,-56.641,-44.922,-52.734,-33.691,0.000
1727413122.699,-90.332,-40.527,-40.527,-49.316,0.000
1727413122.703,-38.086,-47.852,-43.457,-41.016,0.000
1727413122.707,23.926,-58.105,-50.781,-26.367,0.000
1727413122.711,4.395,-59.082,-55.664,-27.344,0.000
1727413122.715,-62.988,-53.223,-57.129,-38.086,0.000
1727413122.719,-92.285,-53.711,-51.270,-48.340,0.000
1727413122.723,-47.852,-58.594,-47.363,-36.133,0.000
1727413122.727,10.742,-50.781,-48.828,-20.020,0.000
1727413122.731,0.000,-40.527,-46.387,-19.531,0.000
1727413122.734,0.000,-52.246,-47.363,-19.531,0.000
1727413122.738,0.000,-50.293,-44.434,-33.691,0.000
1727413122.742,0.000,-44.922,-33.691,-42.969,0.000
1727413122.746,0.000,-50.293,-43.457,-23.438,0.000
1727413122.750,0.000,-52.734,-53.711,-15.137,0.000
1727413122.754,0.000,-54.199,-45.898,-22.949,0.000
1727413122.758,0.000,-47.363,-39.062,-36.621,0.000
1727413122.762,0.000,-41.016,-40.527,-38.086,0.000
1727413122.766,0.000,-48.828,-46.387,-31.250,0.000
1727413122.770,0.000,-52.246,-50.293,-24.902,0.000
1727413122.773,0.000,-39.062,-57.129,-35.645,0.000
1727413122.777,-99.609,-40.039,-55.176,-48.828,0.000
1727413122.781,-75.195,-45.898,-50.293,-40.039,0.000
1727413122.785,-3.418,-44.434,-44.922,-27.344,0.000
1727413122.789,18.066,-45.410,-37.109,-22.461,0.000
1727413122.793,-20.508,-46.387,-54.688,-23.438,0.000
1727413122.797,-68.359,-41.016,-57.129,-33.203,0.000
1727413122.801,-70.312,-35.156,-42.480,-37.109,0.000
1727413122.805,-1.953,-37.598,-40.527,-19.043,0.000
1727413122.809,39.551,-34.180,-50.781,-13.184,0.000
1727413122.813,-0.977,-38.574,-46.875,-2.441,0.000
1727413122.816,-73.242,-45.898,-41.016,-30.273,0.000
1727413122.820,-80.078,-50.781,-47.852,-51.758,0.000
1727413122.824,-21.484,-44.922,-52.246,-34.180,0.000
1727413122.828,15.625,-45.410,-46.875,-20.508,0.000
1727413122.832,-18.066,-52.734,-45.898,-21.484,0.000
1727413122.836,-75.195,-43.457,-50.293,-36.133,0.000
1727413122.840,-73.730,-55.176,-40.527,-25.879,0.000
1727413122.844,-3.906,-59.570,-35.156,-7.812,0.000
1727413122.848,43.945,-37.598,-52.246,-18.555,0.000
1727413122.852,-4.883,-35.645,-56.152,-29.297,0.000
1727413122.856,-86.914,-23.438,-62.988,-48.340,0.000
