timestamps,TP9,AF7,AF8,TP10,Right AUX
1727361907.252,-99.121,-39.062,-48.340,-46.875,0.000
1727361907.256,-87.402,-37.598,-46.387,-58.105,0.000
1727361907.260,7.812,-37.109,-53.223,-41.016,0.000
1727361907.264,64.941,-34.668,-62.500,-23.438,0.000
1727361907.268,5.371,-32.227,-51.758,-21.484,0.000
1727361907.272,-89.355,-37.598,-53.223,-37.598,0.000
1727361907.276,-89.355,-43.457,-66.406,-36.621,0.000
1727361907.280,-8.789,-33.203,-58.594,-13.184,0.000
1727361907.283,29.297,-18.555,-47.363,-6.348,0.000
1727361907.287,-12.695,-31.250,-50.293,-23.438,0.000
1727361907.291,-63.477,-41.016,-55.664,-47.363,0.000
1727361907.295,-70.312,-34.180,-62.988,-50.293,0.000
1727361907.299,-14.648,-35.156,-64.453,-33.691,0.000
1727361907.303,73.730,-30.762,-61.035,-26.367,0.000
1727361907.307,37.598,-29.297,-51.270,-8.301,0.000
1727361907.311,-75.684,-41.992,-47.363,-17.090,0.000
1727361907.315,-82.031,-41.504,-51.270,-40.039,0.000
1727361907.319,-9.277,-30.762,-56.641,-30.273,0.000
1727361907.323,44.434,-43.945,-57.129,-20.996,0.000
1727361907.326,3.906,-65.430,-53.223,-22.949,0.000
1727361907.330,-74.707,-69.336,-59.570,-27.832,0.000
1727361907.334,-105.957,-49.805,-59.570,-34.180,0.000
1727361907.338,-50.781,-36.133,-59.082,-39.062,0.000
1727361907.342,37.109,-24.414,-62.500,-27.344,0.000
1727361907.346,27.832,-16.602,-56.641,-7.812,0.000
1727361907.350,-40.527,-43.457,-44.434,-26.855,0.000
1727361907.354,-87.891,-44.922,-48.340,-48.828,0.000
1727361907.358,-31.738,-29.297,-58.594,-31.738,0.000
1727361907.362,43.945,-34.668,-49.316,-3.418,0.000
1727361907.366,23.926,-42.969,-41.992,-7.812,0.000
1727361907.369,-45.898,-39.551,-44.434,-23.926,0.000
1727361907.373,-81.055,-26.855,-49.316,-39.062,0.000
1727361907.377,-50.781,-21.973,-48.828,-48.340,0.000
1727361907.381,23.438,-34.668,-46.875,-4.883,0.000
1727361907.385,44.434,-37.109,-46.875,13.672,0.000
1727361907.389,-24.902,-39.551,-59.082,-18.555,0.000
1727361907.393,-66.895,-34.180,-62.012,-33.691,0.000
1727361907.397,-40.527,-23.926,-55.176,-34.180,0.000
1727361907.401,21.484,-29.785,-54.199,-21.973,0.000
1727361907.405,37.598,-31.738,-63.965,-12.695,0.000
1727361907.408,-26.367,-28.320,-67.871,-4.883,0.000
1727361907.412,-74.707,-37.109,-68.848,-21.973,0.000
1727361907.416,-64.453,-47.363,-66.895,-33.203,0.000
1727361907.420,15.137,-34.668,-53.711,-5.371,0.000
1727361907.424,49.805,-22.949,-56.152,-7.812,0.000
1727361907.428,-6.836,-23.438,-64.941,-18.555,0.000
1727361907.432,-78.613,-20.020,-62.988,-31.738,0.000
1727361907.436,-85.449,-11.230,-65.430,-32.227,0.000
1727361907.440,-5.859,-14.648,-68.848,-15.137,0.000
1727361907.444,43.457,-29.297,-73.242,-15.625,0.000
1727361907.448,-19.531,-40.527,-67.383,-22.461,0.000
1727361907.451,-97.168,-43.457,-58.105,-25.391,0.000
1727361907.455,-82.520,-34.668,-76.172,-26.367,0.000
1727361907.459,-3.418,-40.527,-80.566,-29.785,0.000
1727361907.463,32.715,-58.105,-68.359,-29.297,0.000
1727361907.467,-9.277,-47.363,-75.195,-26.367,0.000
1727361907.471,-95.703,-44.434,-77.148,-29.785,0.000
1727361907.475,-114.258,-48.828,-78.125,-34.180,0.000
1727361907.479,-21.484,-26.855,-79.590,-29.297,0.000
1727361907.483,46.387,-23.926,-71.777,-10.742,0.000
1727361907.487,-5.371,-44.434,-65.430,-2.930,0.000
1727361907.491,-69.824,-43.945,-64.941,-21.973,0.000
1727361907.494,-83.984,-37.109,-72.754,-46.875,0.000
1727361907.498,-36.621,-40.039,-80.078,-35.645,0.000
1727361907.502,17.090,-36.621,-87.891,-12.207,0.000
1727361907.506,-6.348,-34.668,-83.008,-14.648,0.000
1727361907.510,-67.383,-22.949,-72.266,-32.715,0.000
1727361907.514,-91.797,-18.066,-75.684,-40.039,0.000
1727361907.518,-9.766,-22.949,-76.660,-8.301,0.000
1727361907.522,51.270,-21.973,-69.824,13.672,0.000
1727361907.526,10.254,-21.973,-65.430,4.395,0.000
1727361907.530,-59.082,-14.648,-67.871,-20.996,0.000
1727361907.533,-92.773,16.113,-69.336,-44.434,0.000
1727361907.537,-49.316,41.016,-64.453,-31.250,0.000
1727361907.541,19.043,45.410,-65.918,-0.488,0.000
1727361907.545,21.973,30.762,-65.430,-1.953,0.000
1727361907.549,-41.016,28.809,-64.941,-26.855,0.000
1727361907.553,-106.445,31.250,-78.125,-39.062,0.000
1727361907.557,-66.406,29.297,-88.867,-43.457,0.000
1727361907.561,30.273,30.762,-85.938,-40.527,0.000
1727361907.565,20.996,16.113,-82.520,-29.785,0.000
1727361907.569,-67.871,6.348,-85.938,-33.691,0.000
1727361907.573,-118.652,12.695,-76.660,-50.293,0.000
1727361907.576,-86.914,13.672,-79.590,-44.922,0.000
1727361907.580,-0.977,11.719,-87.891,-37.598,0.000
1727361907.584,37.109,6.836,-81.055,-36.133,0.000
1727361907.588,-33.203,-5.859,-81.543,-28.809,0.000
1727361907.592,-107.422,-9.766,-85.938,-52.246,0.000
1727361907.596,-83.008,-1.465,-87.402,-66.895,0.000
1727361907.600,13.672,-0.488,-88.867,-41.992,0.000
1727361907.604,30.273,2.441,-84.473,-34.180,0.000
1727361907.608,-40.527,-9.766,-79.102,-37.109,0.000
1727361907.612,-101.074,-17.578,-85.449,-45.898,0.000
1727361907.616,-95.703,-5.371,-87.402,-37.598,0.000
1727361907.619,-1.465,-5.371,-87.891,-37.109,0.000
1727361907.623,54.688,-9.277,-91.309,-49.316,0.000
1727361907.627,-12.207,-8.789,-81.543,-40.527,0.000
1727361907.631,-84.961,-9.277,-82.031,-43.457,0.000
1727361907.635,-80.078,-17.090,-82.031,-55.176,0.000
1727361907.639,5.859,-16.602,-86.914,-48.828,0.000
1727361907.643,76.172,-13.672,-85.938,-21.973,0.000
1727361907.647,-3.906,-19.531,-79.590,-12.207,0.000
1727361907.651,-95.215,-22.949,-85.449,-40.527,0.000
1727361907.655,-81.055,-18.555,-78.125,-44.434,0.000
1727361907.658,7.324,-18.555,-62.012,-4.883,0.000
1727361907.662,65.918,-16.602,-65.430,5.859,0.000
1727361907.666,-15.625,-16.602,-83.984,-16.113,0.000
1727361907.670,-106.934,-18.555,-83.008,-28.320,0.000
1727361907.674,-123.047,-10.742,-79.102,-46.875,0.000
1727361907.678,-48.340,-10.254,-80.078,-41.016,0.000
1727361907.682,31.250,-22.949,-79.102,-32.227,0.000
1727361907.686,9.766,-12.207,-82.031,-33.203,0.000
1727361907.690,-57.129,-7.324,-86.914,-29.297,0.000
1727361907.694,-96.680,-28.809,-82.520,-28.809,0.000
1727361907.698,-50.293,-40.527,-73.730,-19.043,0.000
1727361907.701,48.828,-28.809,-77.148,-3.906,0.000
1727361907.705,42.480,-20.020,-74.707,0.000,0.000
1727361907.709,-53.223,-20.020,-81.055,-4.883,0.000
1727361907.713,-98.633,-18.555,-84.473,-20.020,0.000
1727361907.717,-34.668,-27.344,-82.520,-31.738,0.000
1727361907.721,41.016,-37.109,-83.496,-17.578,0.000
1727361907.725,23.926,-25.879,-83.984,2.441,0.000
1727361907.729,-39.551,-12.695,-84.473,-14.160,0.000
1727361907.733,-75.684,-13.184,-75.195,-44.434,0.000
1727361907.737,-52.246,-27.832,-68.848,-45.410,0.000
1727361907.741,20.996,-40.527,-61.035,-27.832,0.000
1727361907.744,35.156,-30.273,-55.176,-17.090,0.000
1727361907.748,-35.156,-17.578,-59.570,-26.367,0.000
1727361907.752,-90.332,-21.973,-67.383,-39.062,0.000
1727361907.756,-53.711,-20.020,-76.172,-30.273,0.000
1727361907.760,47.363,-20.996,-74.219,2.441,0.000
1727361907.764,63.965,-26.855,-67.871,11.719,0.000
1727361907.768,-38.086,-20.020,-73.242,-15.625,0.000
1727361907.772,-105.469,-20.508,-72.266,-30.273,0.000
1727361907.776,-64.453,-27.832,-62.500,-26.367,0.000
1727361907.780,34.668,-30.762,-69.824,-27.832,0.000
1727361907.783,51.270,-35.156,-71.777,-28.320,0.000
1727361907.787,-21.484,-32.227,-65.430,-29.297,0.000
1727361907.791,-87.402,-22.461,-59.570,-31.250,0.000
1727361907.795,-88.867,-30.762,-62.988,-42.480,0.000
1727361907.799,10.254,-34.668,-73.730,-32.715,0.000
1727361907.803,51.758,-36.133,-69.824,-12.695,0.000
1727361907.807,-8.789,-39.062,-62.988,-15.137,0.000
1727361907.811,-67.871,-23.438,-61.035,-19.531,0.000
1727361907.815,-71.289,-9.277,-52.734,-11.719,0.000
1727361907.819,30.762,-8.301,-45.410,8.789,0.000
1727361907.823,95.215,-2.441,-41.016,21.973,0.000
1727361907.826,4.883,-5.859,-42.969,-10.742,0.000
1727361907.830,-80.078,-19.531,-60.547,-47.852,0.000
1727361907.834,-76.660,-18.555,-67.383,-45.898,0.000
1727361907.838,-3.418,-20.996,-61.523,-27.832,0.000
1727361907.842,40.527,-23.438,-55.664,-17.090,0.000
1727361907.846,3.906,-23.926,-51.758,-18.066,0.000
1727361907.850,-48.828,-32.227,-58.594,-37.109,0.000
1727361907.854,-79.102,-43.457,-66.406,-41.504,0.000
1727361907.858,-18.066,-26.855,-71.777,-28.809,0.000
1727361907.862,43.945,-13.184,-75.195,-30.273,0.000
1727361907.866,7.812,-18.066,-74.707,-33.691,0.000
