timestamps,TP9,AF7,AF8,TP10,Right AUX
1727361845.802,88.867,-60.059,-31.738,1.465,0.000
1727361845.806,18.066,-64.453,-36.133,-17.578,0.000
1727361845.810,-116.211,-47.363,-41.504,-61.035,0.000
1727361845.814,-130.371,-48.340,-38.574,-78.125,0.000
1727361845.818,-26.855,-61.035,-37.109,-34.668,0.000
1727361845.822,45.410,-60.059,-42.480,-11.230,0.000
1727361845.826,26.367,-65.430,-47.363,-14.648,0.000
1727361845.829,-64.941,-54.688,-35.645,-39.551,0.000
1727361845.833,-109.863,-48.828,-34.668,-86.914,0.000
1727361845.837,-28.809,-63.477,-43.457,-46.875,0.000
1727361845.841,49.805,-67.871,-39.551,7.812,0.000
1727361845.845,21.973,-54.688,-39.062,4.395,0.000
1727361845.849,-79.102,-43.945,-34.668,-35.645,0.000
1727361845.853,-134.277,-41.016,-37.598,-80.078,0.000
1727361845.857,-50.781,-43.945,-38.574,-46.387,0.000
1727361845.861,49.316,-44.922,-39.551,-15.137,0.000
1727361845.865,24.414,-59.082,-47.852,-8.301,0.000
1727361845.869,-72.266,-62.988,-38.574,-20.996,0.000
1727361845.872,-125.488,-40.527,-20.996,-62.988,0.000
1727361845.876,-38.574,-46.387,-16.113,-38.574,0.000
1727361845.880,56.641,-52.734,-19.531,2.930,0.000
1727361845.884,41.016,-41.992,-15.137,3.418,0.000
1727361845.888,-46.875,-37.109,-20.508,-24.414,0.000
1727361845.892,-128.418,-42.480,-27.344,-67.383,0.000
1727361845.896,-75.684,-48.828,-29.297,-57.129,0.000
1727361845.900,53.711,-38.574,-19.531,-8.789,0.000
1727361845.904,70.801,-39.551,-0.977,5.371,0.000
1727361845.908,-28.320,-46.387,3.906,-16.602,0.000
1727361845.911,-114.258,-57.617,2.930,-44.434,0.000
1727361845.915,-84.961,-57.617,-7.324,-45.410,0.000
1727361845.919,26.855,-48.340,-19.043,-30.762,0.000
1727361845.923,61.035,-49.805,-27.832,-18.555,0.000
1727361845.927,-24.414,-46.387,-25.391,-29.785,0.000
1727361845.931,-133.789,-37.109,-11.230,-66.406,0.000
1727361845.935,-121.094,-29.785,-8.789,-59.082,0.000
1727361845.939,0.977,-30.273,-14.648,-22.949,0.000
1727361845.943,60.059,-35.156,-14.648,-15.137,0.000
1727361845.947,-2.441,-44.922,-10.742,-28.320,0.000
1727361845.951,-105.957,-56.641,-8.789,-70.801,0.000
1727361845.954,-111.816,-60.547,-18.066,-82.031,0.000
1727361845.958,-5.859,-46.875,-28.809,-39.062,0.000
1727361845.962,45.410,-49.805,-24.414,-7.324,0.000
1727361845.966,-21.484,-63.965,-21.973,-7.324,0.000
1727361845.970,-125.977,-54.688,-20.996,-53.223,0.000
1727361845.974,-131.836,-42.480,-14.160,-77.148,0.000
1727361845.978,-18.066,-35.645,-13.184,-41.504,0.000
1727361845.982,60.547,-31.250,-9.277,-16.602,0.000
1727361845.986,10.742,-28.320,-16.113,-22.461,0.000
1727361845.990,-98.633,-45.898,-22.461,-62.988,0.000
1727361845.994,-140.137,-66.895,-18.555,-67.871,0.000
1727361845.997,-31.738,-53.223,-11.230,-20.508,0.000
1727361846.001,63.965,-58.105,3.906,-10.742,0.000
1727361846.005,23.926,-69.824,7.812,-2.930,0.000
1727361846.009,-78.613,-35.645,-5.859,-28.320,0.000
1727361846.013,-112.305,-19.531,-21.484,-74.707,0.000
1727361846.017,-33.203,-28.809,-24.902,-43.945,0.000
1727361846.021,43.457,-24.902,-17.090,1.465,0.000
1727361846.025,25.879,-26.367,-19.043,-1.465,0.000
1727361846.029,-84.961,-34.668,-20.508,-43.457,0.000
1727361846.033,-142.090,-48.340,-18.066,-73.730,0.000
1727361846.037,-60.059,-58.105,-15.137,-38.086,0.000
1727361846.040,61.523,-46.875,-6.836,6.836,0.000
1727361846.044,71.777,-36.621,-12.695,11.719,0.000
1727361846.048,-57.129,-48.340,-6.348,-19.043,0.000
1727361846.052,-151.367,-61.523,-6.836,-68.359,0.000
1727361846.056,-88.379,-60.059,-25.391,-47.363,0.000
1727361846.060,37.109,-51.270,-28.320,-1.953,0.000
1727361846.064,59.082,-49.805,-22.461,-11.719,0.000
1727361846.068,-34.668,-50.293,-22.949,-34.668,0.000
1727361846.072,-127.930,-41.016,-34.668,-69.824,0.000
1727361846.076,-82.520,-42.480,-44.922,-62.988,0.000
1727361846.079,33.691,-55.176,-40.039,-20.996,0.000
1727361846.083,48.828,-67.383,-28.320,-18.555,0.000
1727361846.087,-61.523,-69.336,-22.949,-45.410,0.000
1727361846.091,-157.715,-59.082,-21.484,-85.449,0.000
1727361846.095,-112.793,-71.289,-22.949,-73.730,0.000
1727361846.099,1.953,-73.730,-22.461,-20.508,0.000
1727361846.103,40.527,-56.152,-23.438,4.395,0.000
1727361846.107,-31.738,-51.270,-31.250,-18.066,0.000
1727361846.111,-113.770,-49.316,-30.273,-79.102,0.000
1727361846.115,-115.234,-53.223,-32.227,-80.566,0.000
1727361846.119,-22.949,-61.523,-34.668,-41.504,0.000
1727361846.122,46.875,-61.523,-25.391,-23.438,0.000
1727361846.126,-1.465,-44.434,-17.578,-28.809,0.000
1727361846.130,-104.492,-48.828,-17.578,-80.566,0.000
1727361846.134,-112.305,-73.242,-26.367,-92.773,0.000
1727361846.138,5.371,-61.523,-28.809,-42.480,0.000
1727361846.142,59.082,-41.504,-32.227,-13.672,0.000
1727361846.146,-10.742,-38.574,-28.809,-10.254,0.000
1727361846.150,-112.305,-45.410,-12.207,-48.340,0.000
1727361846.154,-109.863,-51.270,-17.090,-72.266,0.000
1727361846.158,-4.395,-57.617,-26.367,-20.996,0.000
1727361846.162,56.641,-52.734,-13.184,20.508,0.000
1727361846.165,20.020,-43.945,-0.488,4.883,0.000
1727361846.169,-84.961,-39.062,-8.789,-55.664,0.000
1727361846.173,-101.074,-34.180,-22.461,-86.914,0.000
1727361846.177,-6.348,-46.875,-19.531,-37.109,0.000
1727361846.181,52.734,-55.664,-13.672,-1.953,0.000
1727361846.185,15.625,-61.035,-15.625,12.207,0.000
1727361846.189,-87.891,-89.355,-20.996,-22.949,0.000
1727361846.193,-115.723,-80.566,-25.391,-64.941,0.000
1727361846.197,-31.738,-29.297,-17.090,-21.973,0.000
1727361846.201,52.734,-29.297,-12.695,18.066,0.000
1727361846.204,32.227,-56.152,-17.578,8.301,0.000
1727361846.208,-80.078,-49.316,-16.113,-50.781,0.000
1727361846.212,-131.836,-31.738,-7.324,-90.820,0.000
1727361846.216,-46.875,-41.016,-4.883,-47.852,0.000
1727361846.220,56.641,-53.711,-6.836,4.883,0.000
1727361846.224,53.223,-39.062,-7.812,6.836,0.000
1727361846.228,-34.180,-40.039,-6.348,-19.531,0.000
1727361846.232,-101.562,-54.688,-5.859,-62.012,0.000
1727361846.236,-60.059,-53.223,-4.395,-40.039,0.000
1727361846.240,41.504,-46.875,-3.906,9.277,0.000
1727361846.244,47.852,-38.574,-9.766,-7.324,0.000
1727361846.247,-47.852,-31.738,-12.695,-31.250,0.000
1727361846.251,-139.160,-42.969,-21.484,-64.941,0.000
1727361846.255,-76.660,-65.918,-25.391,-56.152,0.000
1727361846.259,40.527,-71.289,-27.832,-14.648,0.000
1727361846.263,53.223,-56.641,-21.484,-2.930,0.000
1727361846.267,-26.855,-46.875,-11.230,-8.301,0.000
1727361846.271,-128.418,-46.875,-19.043,-44.434,0.000
1727361846.275,-94.727,-52.246,-20.020,-47.852,0.000
1727361846.279,28.809,-50.781,-16.602,3.418,0.000
1727361846.283,63.477,-40.527,-21.484,17.090,0.000
1727361846.286,-8.789,-32.715,-17.578,0.977,0.000
1727361846.290,-88.379,-24.902,-1.465,-28.809,0.000
1727361846.294,-66.895,-32.227,-5.859,-26.367,0.000
1727361846.298,44.434,-36.621,-14.160,10.254,0.000
1727361846.302,105.469,-30.273,-11.719,11.719,0.000
1727361846.306,31.738,-32.227,-12.207,8.301,0.000
1727361846.310,-76.660,-35.156,-23.926,-35.645,0.000
1727361846.314,-68.848,-19.043,-26.855,-47.852,0.000
1727361846.318,16.602,-25.879,-20.996,0.488,0.000
1727361846.322,63.477,-47.852,-20.508,-0.977,0.000
1727361846.326,13.184,-42.480,-21.973,-25.391,0.000
1727361846.329,-105.957,-30.762,-16.113,-65.918,0.000
1727361846.333,-127.441,-23.438,-19.531,-85.449,0.000
1727361846.337,-29.785,-35.645,-27.832,-42.480,0.000
1727361846.341,55.664,-44.434,-27.344,-3.906,0.000
1727361846.345,6.836,-37.109,-34.668,-16.602,0.000
1727361846.349,-117.676,-36.621,-30.762,-51.758,0.000
1727361846.353,-141.602,-33.691,-21.973,-68.359,0.000
1727361846.357,-38.086,-38.574,-27.832,-40.527,0.000
1727361846.361,48.828,-62.500,-26.367,-8.301,0.000
1727361846.365,25.879,-58.594,-18.066,-1.953,0.000
1727361846.369,-62.012,-25.391,-20.020,-26.367,0.000
1727361846.372,-94.727,-16.113,-27.832,-54.688,0.000
1727361846.376,-9.766,-28.809,-28.809,-15.137,0.000
1727361846.380,53.223,-38.574,-29.785,19.531,0.000
1727361846.384,29.785,-32.227,-31.250,13.184,0.000
1727361846.388,-49.316,-18.555,-25.391,-26.855,0.000
1727361846.392,-102.539,-16.113,-31.738,-63.477,0.000
1727361846.396,-23.926,-21.484,-28.809,-19.043,0.000
1727361846.400,74.219,-27.832,-28.320,6.836,0.000
1727361846.404,62.012,-29.297,-30.762,2.930,0.000
1727361846.408,-34.180,-20.020,-29.297,-14.648,0.000
1727361846.412,-100.586,-3.906,-37.109,-45.898,0.000
1727361846.415,-28.809,2.441,-37.109,-22.461,0.000
1727361846.419,56.152,6.836,-35.645,11.719,0.000
1727361846.423,46.387,-6.348,-33.691,13.184,0.000
1727361846.427,-46.875,-27.832,-36.133,-16.113,0.000
