timestamps,TP9,AF7,AF8,TP10,Right AUX
1727416695.835,10.742,-54.688,-12.695,-79.102,0.000
1727416695.838,-20.508,-48.828,-5.371,-67.871,0.000
1727416695.842,-87.402,-41.992,2.441,-19.043,0.000
1727416695.846,-72.266,-28.809,21.484,7.324,0.000
1727416695.850,-42.480,-35.156,7.812,-41.504,0.000
1727416695.854,18.066,-40.527,-21.973,-52.734,0.000
1727416695.858,-1.953,-48.340,-21.484,-37.109,0.000
1727416695.862,-86.914,-38.086,-13.672,-37.109,0.000
1727416695.866,-73.242,-20.996,0.488,-7.812,0.000
1727416695.870,-32.715,-41.016,-11.230,-26.855,0.000
1727416695.874,-6.348,-54.688,-22.461,-69.824,0.000
1727416695.877,-29.297,-43.945,-20.996,-71.777,0.000
1727416695.881,-79.590,-35.645,-20.020,-42.480,0.000
1727416695.885,-67.383,-37.598,-9.277,-7.324,0.000
1727416695.889,-59.082,-57.129,-24.902,-31.250,0.000
1727416695.893,-17.090,-52.734,-40.039,-81.543,0.000
1727416695.897,3.418,-56.152,-33.691,-78.613,0.000
1727416695.901,-64.941,-63.965,-38.086,-37.109,0.000
1727416695.905,-76.172,-45.898,-33.203,-4.883,0.000
1727416695.909,-75.195,-33.203,-39.062,-39.062,0.000
1727416695.913,-46.875,-26.367,-52.734,-92.773,0.000
1727416695.917,3.906,-43.457,-53.223,-67.383,0.000
1727416695.920,-73.242,-43.457,-46.875,-51.758,0.000
1727416695.924,-83.984,-19.043,-39.551,-36.621,0.000
1727416695.928,-43.457,-38.086,-53.711,-21.973,0.000
1727416695.932,-33.691,-50.781,-63.477,-69.824,0.000
1727416695.936,-7.812,-47.363,-52.246,-87.402,0.000
1727416695.940,-59.570,-44.922,-45.898,-67.383,0.000
1727416695.944,-68.359,-34.668,-35.645,-1.465,0.000
1727416695.948,-45.898,-48.340,-39.551,14.648,0.000
1727416695.952,-28.320,-52.734,-61.523,-56.641,0.000
1727416695.956,1.465,-35.156,-52.734,-73.242,0.000
1727416695.960,-39.062,-38.086,-40.527,-38.086,0.000
1727416695.963,-58.105,-45.898,-39.551,19.531,0.000
1727416695.967,-71.777,-40.527,-45.898,1.953,0.000
1727416695.971,-53.223,-45.410,-44.434,-50.293,0.000
1727416695.975,8.301,-34.180,-49.316,-57.617,0.000
1727416695.979,-38.574,-33.203,-41.504,-56.152,0.000
1727416695.983,-81.055,-26.367,-26.367,-19.043,0.000
1727416695.987,-64.453,-19.531,-31.250,5.371,0.000
1727416695.991,-43.457,-34.668,-38.574,-33.203,0.000
1727416695.995,-1.953,-22.949,-41.016,-63.477,0.000
1727416695.999,-27.832,-18.555,-36.133,-43.457,0.000
1727416696.002,-73.730,-6.836,-28.320,-20.020,0.000
1727416696.006,-38.574,-17.578,-24.414,29.785,0.000
1727416696.010,-33.203,-34.180,-38.086,-15.625,0.000
1727416696.014,-32.227,-8.789,-41.504,-103.027,0.000
1727416696.018,-43.945,-10.254,-35.156,-87.891,0.000
1727416696.022,-93.262,-31.738,-23.926,-36.133,0.000
1727416696.026,-89.844,-26.855,-19.043,-10.742,0.000
1727416696.030,-81.055,-23.438,-38.574,-66.406,0.000
1727416696.034,-32.715,-25.391,-46.875,-83.008,0.000
1727416696.038,-29.785,-21.973,-40.039,-60.547,0.000
1727416696.042,-89.844,-31.250,-32.227,-35.645,0.000
1727416696.045,-105.957,-19.531,-32.227,-23.438,0.000
1727416696.049,-79.102,-22.461,-32.715,-41.504,0.000
1727416696.053,-6.348,-39.551,-36.621,-42.969,0.000
1727416696.057,-37.598,-17.578,-53.711,-72.754,0.000
1727416696.061,-105.957,-3.906,-42.969,-62.988,0.000
1727416696.065,-79.102,-7.324,-33.203,-0.977,0.000
1727416696.069,-79.102,-6.348,-45.410,-23.926,0.000
1727416696.073,-51.270,-4.395,-50.293,-86.426,0.000
1727416696.077,-4.883,-9.277,-41.016,-86.426,0.000
1727416696.081,-56.641,-11.719,-34.180,-50.293,0.000
1727416696.085,-75.684,-4.395,-38.574,-8.301,0.000
1727416696.088,-55.176,-1.465,-42.480,-17.578,0.000
1727416696.092,-29.297,-14.160,-39.551,-67.871,0.000
1727416696.096,13.672,-29.297,-23.438,-54.199,0.000
1727416696.100,-58.105,-25.879,-26.855,-41.016,0.000
1727416696.104,-106.445,1.953,-18.066,-34.668,0.000
1727416696.108,-62.500,-10.742,-12.695,-15.137,0.000
1727416696.112,-30.762,-27.344,-32.227,-48.340,0.000
1727416696.116,-13.184,-8.301,-20.020,-58.105,0.000
1727416696.120,-65.918,2.441,-12.207,-46.875,0.000
1727416696.124,-73.242,0.000,2.441,9.766,0.000
1727416696.127,-38.086,-6.836,5.371,21.973,0.000
1727416696.131,-10.254,-7.324,-8.301,-48.828,0.000
1727416696.135,30.762,-1.465,-13.184,-59.082,0.000
1727416696.139,-31.250,-7.324,-18.066,-37.109,0.000
1727416696.143,-63.965,-12.695,-9.277,9.766,0.000
1727416696.147,-62.988,0.488,-9.766,-4.883,0.000
1727416696.151,-62.988,4.395,-20.996,-71.289,0.000
1727416696.155,12.207,-19.043,-10.742,-59.082,0.000
1727416696.159,-25.879,-32.715,-10.742,-32.715,0.000
1727416696.163,-104.004,-19.043,-14.160,-22.949,0.000
1727416696.167,-80.566,-5.371,-14.160,-13.672,0.000
1727416696.170,-55.664,-28.320,-28.320,-53.711,0.000
1727416696.174,-26.367,-46.875,-35.645,-106.445,0.000
1727416696.178,-56.641,-57.617,-47.363,-105.469,0.000
1727416696.182,-113.770,-48.828,-44.922,-62.988,0.000
1727416696.186,-95.703,-48.828,-41.992,-3.906,0.000
1727416696.190,-86.914,-68.848,-60.547,-32.715,0.000
1727416696.194,-79.590,-47.363,-68.848,-122.559,0.000
1727416696.198,-72.754,-42.969,-57.129,-103.027,0.000
1727416696.202,-94.238,-39.062,-46.875,-36.133,0.000
1727416696.206,-103.516,-12.695,-34.668,-9.766,0.000
