,TP9,AF7,AF8,TP10
0,-12.388963739650736,-11.850706667948709,-17.57694496937923,-15.278527142535292
1,-12.848887269021985,-12.337050793610436,-17.96314534915306,-15.703327793834783
2,-13.317974190350155,-12.860481612518305,-18.359800036122426,-16.19912799015505
3,-13.826854448779166,-13.40156727154964,-18.76629607268903,-16.69879468438202
4,-14.395235376673552,-13.934046040450736,-19.17788613053439,-17.130047255893977
5,-14.961274495560245,-14.447343450600176,-19.588055215399105,-17.508332819075818
6,-15.457117420227542,-14.934019742481611,-19.988118001866304,-17.867304944728456
7,-15.916596954541797,-15.390042284927581,-20.37210608374597,-18.226258440222747
8,-16.38352084216432,-15.816966121450955,-20.738128247036546,-18.58970981688673
9,-16.820997545221562,-16.21136405038294,-21.08392466465844,-18.89281346886191
10,-17.188001090513204,-16.57222402078176,-21.41695464156092,-19.078641407868503
11,-17.480610739883797,-16.920059384556993,-21.747861050444914,-19.206596962496686
12,-17.711803109951685,-17.268062007817754,-22.093150877566597,-19.355899062891442
13,-17.94341500999395,-17.585818026147393,-22.457728549059524,-19.54397078556951
14,-18.223520906736887,-17.837205940656297,-22.818905647908196,-19.758805035081433
15,-18.481972393066517,-18.01855643680444,-23.13780254663933,-19.942918911287883
16,-18.632641168815546,-18.137718328077572,-23.391651715583194,-20.037769919241402
17,-18.68648506075948,-18.2001569584633,-23.56712290802407,-20.076396517681047
18,-18.677509874283924,-18.216881767407816,-23.667983972510335,-20.10683607357911
19,-18.612475276067308,-18.202934630604332,-23.711727803090348,-20.094542987841685
20,-18.500458426628576,-18.17075942973948,-23.72003360342647,-19.999235048912716
21,-18.34096239490339,-18.129656327748815,-23.708008092387086,-19.84778492050218
22,-18.135873900091138,-18.084092935091775,-23.682053670428328,-19.670254758489804
23,-17.937529659118056,-18.02797054582416,-23.638556419876174,-19.45123646109824
24,-17.792813259149046,-17.95583312680828,-23.567605481711666,-19.177137595182625
25,-17.667509920577107,-17.87645729387425,-23.456929428697453,-18.858557807516775
26,-17.52046269228627,-17.800691968209946,-23.2997424702216,-18.51721923942237
27,-17.370096903485745,-17.73396271758282,-23.10417099579008,-18.20567067683869
28,-17.243361285854856,-17.67660723687746,-22.885840164500436,-17.966275152797646
29,-17.16814564134196,-17.612333707639667,-22.65745739028599,-17.757308732135588
30,-17.14914844998484,-17.52698516991603,-22.428837290718942,-17.526036125462664
31,-17.084579972289838,-17.43917857140691,-22.210184881667026,-17.30071378598155
32,-16.879429662780797,-17.370062646501907,-22.001517570260273,-17.111489107635297
33,-16.60116534840383,-17.307966358854376,-21.778177968582078,-16.92468198431957
34,-16.34754309247003,-17.23594772921028,-21.514183906516,-16.699999479052174
35,-16.107115622451854,-17.15632505292268,-21.2079905965285,-16.40201858146876
36,-15.857209717852628,-17.07184957643743,-20.866551920075082,-16.0218557869959
37,-15.632466415878877,-16.976620540204046,-20.493732308158727,-15.654244766116026
38,-15.460359321717261,-16.865088728750283,-20.093066173793005,-15.391911189664903
39,-15.34851892721301,-16.72719092763463,-19.661679253109746,-15.18419367288099
40,-15.287042425354478,-16.559516009961964,-19.195576115411548,-14.953159428767535
41,-15.19074981723642,-16.385538148142395,-18.700225972342047,-14.70297469357417
42,-14.987240560574143,-16.225399942785266,-18.18338394606922,-14.451902296412461
43,-14.760259318071979,-16.073369331886397,-17.64749542859097,-14.207763989825741
44,-14.599973099591406,-15.906308890481803,-17.094952652828034,-13.9732184482495
45,-14.430691689081614,-15.667784615483287,-16.53125273544234,-13.70349191740844
46,-14.155836718650345,-15.314314061288846,-15.960621222210289,-13.351447957180001
47,-13.775543023405884,-14.88856941040873,-15.384909141045622,-12.943290943191377
48,-13.315188894012872,-14.450849817332498,-14.803075043718282,-12.515042552815382
49,-12.816548326881826,-13.997253304347511,-14.205951988889534,-12.03748801913172
50,-12.3208624764005,-13.514012889724658,-13.584113961518018,-11.484300755680279
51,-11.783699814511007,-13.02322327465254,-12.939517996350547,-10.888890926072195
52,-11.15904136941878,-12.538975418602856,-12.268943475766532,-10.288228344642164
53,-10.525735915736716,-12.048738086313545,-11.572198508326853,-9.703529552596985
54,-9.96270422236007,-11.53033318659962,-10.832158965021856,-9.133169023132448
55,-9.423147785343518,-10.939167406574132,-10.019559057030865,-8.494873640978572
56,-8.835626678489977,-10.24615361538614,-9.123407329703994,-7.717767788092263
57,-8.171471917303098,-9.497817176887217,-8.173027618374467,-6.867855618479643
58,-7.418232263472636,-8.752660580527767,-7.21851849056474,-6.0331399716483824
59,-6.6072758789180615,-8.015188956104375,-6.2713401444927,-5.222146912536613
60,-5.801037550901197,-7.30074463983701,-5.33340280563293,-4.4365572456636695
61,-4.9759669568721865,-6.62679640836608,-4.471747849885814,-3.6979218592397256
62,-4.130929649690757,-6.021031414766205,-3.75579774178314,-3.027615389785941
63,-3.401139374535793,-5.474042418783602,-3.178428550377173,-2.46435494989367
64,-2.9078693221318606,-4.9622275983964315,-2.67711573472491,-2.020109445937398
65,-2.584916934058843,-4.487072603332876,-2.1920257372311225,-1.6220288889193266
66,-2.3177908316068803,-4.056679279672299,-1.6893561317604333,-1.1956371180939391
67,-2.0636859957727003,-3.6699426330291636,-1.1714455726600068,-0.7748482311262919
68,-1.7550046230858478,-3.3672826749838762,-0.6387027933751998,-0.38054511027817506
69,-1.4901204832445585,-3.0988952731712613,-0.11227570434251366,-0.044013610775271036
70,-1.3210487266817108,-2.8567574984001003,0.38801039497985607,0.2634667109955984
71,-1.1807470207085526,-2.6368836039712042,0.8260159824740019,0.5333429107695357
72,-0.9814616947042721,-2.4356820623525333,1.1940079538458537,0.7604328863068027
