,TP9,AF7,AF8,TP10
0,-14.738783796815156,-6.810164504551273,-14.928841305311948,-14.625077622676818
1,-15.138869898531002,-7.107815510343598,-15.473928582126403,-14.9571903547996
2,-15.591667716565471,-7.4085934921590795,-15.999479752833096,-15.269802134161404
3,-16.076037261558103,-7.709582759084703,-16.49398328674837,-15.589727934757393
4,-16.548470962998397,-8.00092129224984,-16.953235872325934,-15.92563805642688
5,-16.991754782160452,-8.267345696674877,-17.381694791447085,-16.265344054006018
6,-17.39543738574007,-8.510544225249246,-17.785984735259106,-16.598501419219513
7,-17.749928323161225,-8.75234790739199,-18.173442676761145,-16.93211999230574
8,-18.055889397581574,-9.009433565665798,-18.553806557563778,-17.27232631748859
9,-18.322358620894093,-9.282306942870784,-18.93441991452757,-17.614700437096847
10,-18.55002876206848,-9.561367815059564,-19.312780404025318,-17.941883836693734
11,-18.731210947519884,-9.83478731442611,-19.674618172848913,-18.23439784741206
12,-18.843374223690024,-10.09097055461418,-19.997803267106857,-18.481268657995944
13,-18.813524836134597,-10.325434164741106,-20.26734913179895,-18.6735175837121
14,-18.593018595411763,-10.539889616582295,-20.486319938952242,-18.812027180939403
15,-18.256176783913958,-10.739131254549312,-20.666777191806457,-18.893684471826816
16,-17.901463025274193,-10.92959553270399,-20.818105508484862,-18.927915290245924
17,-17.558898536773057,-11.11791965373846,-20.949744323270536,-18.935004213690302
18,-17.230783670040612,-11.307481596683953,-21.06680873764488,-18.929879541241423
19,-16.892040177364937,-11.494445591382366,-21.173636424686443,-18.909021936038815
20,-16.515933347318814,-11.674053644913448,-21.269231780582928,-18.85768842570026
21,-16.144323818657842,-11.84485649160549,-21.34636298744353,-18.780660392801927
22,-15.82838671300415,-12.008211624020419,-21.394859502382094,-18.694571657628916
23,-15.547755038809306,-12.174334284211607,-21.40413554072488,-18.616950938072662
24,-15.270073766558408,-12.346387193170871,-21.373126170953054,-18.570931764825282
25,-15.011736301680129,-12.51429760724873,-21.325363636069742,-18.581834802603797
26,-14.779975523646968,-12.65571795914674,-21.300551445076945,-18.643099181347928
27,-14.530220807865092,-12.753297660643039,-21.30776227105087,-18.71236141155595
28,-14.215477831639783,-12.807499049015929,-21.32100958730619,-18.734834822185746
29,-13.803363790820224,-12.821724666278072,-21.31718082057107,-18.675293060458
30,-13.288336999928905,-12.804312687515292,-21.289872968376713,-18.51954880868067
31,-12.748830740861498,-12.758903340003572,-21.239960191992278,-18.268064454614315
32,-12.263993662632005,-12.687158291455352,-21.170179192932903,-17.946093334968488
33,-11.793805713257097,-12.592408158391938,-21.084507752808157,-17.597756992541374
