,TP9,AF7,AF8,TP10
0,-22.16839618099235,-32.24512279695478,-26.374936908308822,-19.61970245682679
1,-22.482057154959897,-32.7087616676381,-26.99222784549495,-19.94414837807544
2,-22.883705156478882,-33.0956573314251,-27.611392563780303,-20.254009184595247
3,-23.34410954920054,-33.41808226980115,-28.24187350333515,-20.55950917498492
4,-23.79675320294722,-33.70324499194278,-28.894495707995507,-20.877603240580584
5,-24.179669474113716,-33.97377964437064,-29.600561712045444,-21.232795467584985
6,-24.45582364261569,-34.25224922027636,-30.374933928974322,-21.647233658089007
7,-24.807677521647246,-34.55740643149842,-31.173524292367677,-22.149378442287258
8,-25.399997966911616,-34.89720406223745,-31.940538475539974,-22.746143971137887
9,-26.01338626466161,-35.267751694908554,-32.64097707880232,-23.373972721864046
10,-26.40375720576464,-35.65589115922114,-33.26472695165826,-23.964713988335912
11,-26.6893603799299,-36.04093207752621,-33.85947484637692,-24.52304797232561
12,-27.040072716146312,-36.40186181111172,-34.475593118870464,-25.070276837054497
13,-27.45784933550632,-36.72578102612325,-35.09343322382899,-25.603193450310727
14,-27.90397481373458,-37.00525523130494,-35.67248851616215,-26.115423970571463
15,-28.25696993442984,-37.23848955829357,-36.18789779990953,-26.577699976143318
16,-28.418607748327823,-37.428728555348535,-36.62727196783729,-26.971371720277805
17,-28.5856794504634,-37.571495663497075,-37.01681360432243,-27.362704778491135
18,-28.965197585329964,-37.67127885158686,-37.390549817968086,-27.815326481865295
19,-29.39786154541846,-37.76850893325263,-37.739344613041425,-28.283136321539068
20,-29.687377311513295,-37.89903053850632,-38.04329359860223,-28.698083670337596
21,-29.91469977058629,-38.05340463853734,-38.30872863392583,-29.050709196066798
22,-30.19282379869328,-38.200183436325524,-38.5406076526635,-29.339657622588113
23,-30.538198065083783,-38.30202988539018,-38.71682927961551,-29.552848221343016
24,-30.935574930817268,-38.320630241421874,-38.82231323360764,-29.68281525546539
25,-31.228051742003256,-38.23238421695797,-38.875901159518506,-29.70244913699858
26,-31.288778290308052,-38.02999124277145,-38.90078890079241,-29.59902692643052
27,-31.348680745359943,-37.71753472709784,-38.91261549838354,-29.434736067540534
28,-31.641018218028997,-37.30955735236364,-38.907258659632795,-29.275289448041868
29,-31.99214697996597,-36.82921552680033,-38.829937429121735,-29.115252835595054
30,-32.16210809800187,-36.294980911781956,-38.62428139403679,-28.928228554736506
31,-32.10507349587795,-35.71132293203265,-38.284186827263795,-28.69404037215001
32,-31.845575036193956,-35.0731161926842,-37.833647443609024,-28.399598861687803
33,-31.522792211067745,-34.35794623184239,-37.32109500223789,-28.07635610196055
34,-31.282000013576162,-33.548129326169075,-36.79424724252228,-27.757551050030507
35,-30.9995993208938,-32.6758477039117,-36.25947541888727,-27.410846259252317
36,-30.530141054457285,-31.772628837200905,-35.698928914997374,-26.995008753857125
37,-30.037709247300047,-30.8008884506611,-35.08911479560655,-26.51866842330911
38,-29.690548186965238,-29.722901239240745,-34.40726935994452,-25.998050914712444
39,-29.38124179099592,-28.566971184241382,-33.643842224383285,-25.427834995367952
40,-28.958814340194497,-27.378712154231184,-32.80544496544958,-24.80212851833454
41,-28.34841109092529,-26.18940415928159,-31.919548316028614,-24.120122880905253
42,-27.52926670562049,-25.01991579263267,-31.013531958645544,-23.38259651727863
43,-26.664434434729948,-23.86703151942991,-30.087282463019616,-22.597394610165676
44,-25.92239854641185,-22.706424715331114,-29.13092864608359,-21.77707364319554
45,-25.1793667135936,-21.507692574171276,-28.13976362047283,-20.93119038583575
46,-24.285869785658694,-20.238887057276347,-27.11174797434757,-20.06869063930345
47,-23.35423622017484,-18.867779753922616,-26.054539861583248,-19.20377223737137
48,-22.532207785086904,-17.381068616633133,-24.97539628610397,-18.341119203053687
49,-21.84414468591568,-15.80308312271647,-23.86769921924343,-17.464773068322632
50,-21.269134518413356,-14.175927090451239,-22.716181159879216,-16.55075099228649
51,-20.731462921032364,-12.534426606203915,-21.501067887168702,-15.570959117518356
52,-20.1345766311179,-10.903442122838491,-20.205715009709934,-14.51343708579822
53,-19.452122103190362,-9.312288599336915,-18.822433821291124,-13.407596407372495
54,-18.69123612236417,-7.765022726522024,-17.36025339338095,-12.300631701084003
55,-17.835338787481472,-6.18049355653677,-15.854344883816054,-11.230117287129366
56,-16.87922285794046,-4.5066346934447195,-14.342787255484591,-10.214790990135477
57,-15.866365735434417,-2.7590528700946164,-12.846917941451089,-9.25597590213184
58,-14.808927670519573,-1.029370314309236,-11.36724397112681,-8.317854305011547
59,-13.636447783987183,0.6355015723018921,-9.868447096972183,-7.295424572579348
60,-12.229340389937148,2.1870470876604684,-8.349144061121988,-6.106528705444969
61,-10.456465050627823,3.45295445419758,-6.8713524852613475,-4.790278014897335
62,-8.259325812788775,4.375672336461775,-5.510970894903759,-3.431276930894033
63,-6.051289259487513,5.006881461822544,-4.243654138828171,-2.1132226001195633
64,-4.251705007855574,5.434448993932932,-2.991699076537028,-0.88583429418939
65,-2.6145769981558207,5.7611958862458055,-1.6697318101233685,0.31364719758379617
66,-0.7863300896971555,6.063504679619507,-0.22326447187980974,1.5627681249197871
67,1.11527287151709,6.377762243952372,1.2992287701771472,2.8204873556844223
68,2.403444102281055,7.345719785510976,2.548155947018303,3.5653714381452204
69,3.554834845028069,8.324315092875175,3.8072558416472004,4.293603116916207
70,4.541086926496307,9.321095835577188,5.0720044057030895,5.008700227858844
71,5.511961807768335,10.322682051335551,6.280733856035324,5.7079767046618395
72,6.621822991865635,11.247239233977673,7.364990891463582,6.372190754536065
73,7.670582713477153,11.992643051885068,8.291827444650798,6.911936205718425
74,8.408157855079159,12.54465395256445,9.053016352932161,7.240994899440019
75,8.960064712734434,12.952780207370886,9.683572669118744,7.3861086479476565
76,9.53063151324367,13.302488283693075,10.228314987297255,7.417049662829693
77,10.10153225551644,13.61881587567761,10.6644469622739,7.3703601884486405
78,10.609768134069222,13.898644825425025,10.961768301319019,7.2731758430780005
79,11.017114849695316,14.137925747881448,11.170564019898123,7.140249021995204
80,11.2931889877949,14.328063627740363,11.356200730750972,6.972337273376914
81,11.5660679534798,14.490441899421244,11.535514830636943,6.783512465849949
82,11.96574513855105,14.646421553990796,11.707265012529186,6.587800592421118
83,12.315779294711026,14.759654562706935,11.860566942243507,6.375478393664839
84,12.397713779239792,14.782957676985319,11.97979791150426,6.134732242780502
85,12.286154111500995,14.707620672595237,12.073963510823836,5.871990494444415
86,12.134945898022362,14.546022151203893,12.160528677763773,5.599043692303815
87,12.012095566994045,14.328963467696214,12.240839292037563,5.332844896635514
88,11.952931866683478,14.094572686871398,12.309495446389613,5.088798611974073
89,11.864816721413876,13.860681799644098,12.35800772334337,4.845150078112882
90,11.635744017358524,13.629766999660028,12.37754093585349,4.581371211495323
91,11.411489992136312,13.397439919022272,12.36772501610724,4.351024961250581
92,11.369359156657618,13.156387298840905,12.337063224196486,4.210699868193613
93,11.38199968875706,12.901621883230733,12.301908410334807,4.132019718186636
94,11.274296215829763,12.638770728665701,12.28035084430689,4.062018062512872
95,11.091904976501828,12.395510801158284,12.287089580558886,3.9652446175845535
96,10.934328173594281,12.18675452468001,12.327531307035585,3.825502453086267
97,10.88215405393406,12.060591279859013,12.385733201059466,3.694100679677769
98,10.99103255172769,11.995174332947602,12.440798217234612,3.6349191283780304
99,11.118043524398987,11.953799036541344,12.489022266521856,3.62818494185652
100,11.098786141328517,11.89174918577369,12.532859164295617,3.6268299157034822
101,11.089775575307382,11.814362478058014,12.57579255656993,3.621834309578844
102,11.293277964468574,11.744847156254565,12.616294265488476,3.6124421204901616
103,11.600639258294715,11.673701043932088,12.629701046354398,3.5933625822246533
104,11.840020247272719,11.587621937732877,12.588165927588673,3.5684379603208294
105,11.980924025117865,11.501778610867134,12.484442748167375,3.5408027938587514
