timestamps,TP9,AF7,AF8,TP10,Right AUX
1727422653.848,0.488,-33.691,-64.453,-40.039,0.000
1727422653.852,-12.695,-38.574,-69.336,-34.180,0.000
1727422653.856,-66.895,-44.922,-70.312,-39.551,0.000
1727422653.860,-84.961,-44.434,-70.801,-39.551,0.000
1727422653.864,-35.645,-27.832,-69.336,-25.391,0.000
1727422653.868,10.254,-22.949,-60.059,-11.719,0.000
1727422653.872,3.906,-28.809,-57.617,-9.766,0.000
1727422653.876,-43.457,-50.781,-64.453,-23.438,0.000
1727422653.880,-70.801,-66.895,-57.129,-31.738,0.000
1727422653.883,-36.621,-62.500,-42.969,-20.020,0.000
1727422653.887,9.766,-51.270,-41.016,-1.953,0.000
1727422653.891,6.836,-35.156,-37.109,-7.812,0.000
1727422653.895,-34.180,-33.691,-37.598,-21.484,0.000
1727422653.899,-76.172,-43.457,-51.270,-33.203,0.000
1727422653.903,-48.828,-41.504,-49.805,-41.504,0.000
1727422653.907,10.742,-37.109,-32.715,-27.832,0.000
1727422653.911,25.391,-40.039,-29.785,-11.719,0.000
1727422653.915,-12.207,-42.480,-41.016,-12.207,0.000
1727422653.919,-70.801,-38.086,-34.668,-23.926,0.000
1727422653.922,-57.617,-37.109,-28.320,-33.691,0.000
1727422653.926,14.648,-30.762,-30.273,-8.301,0.000
1727422653.930,33.691,-22.461,-31.250,-2.441,0.000
1727422653.934,-16.602,-28.320,-38.086,-17.090,0.000
1727422653.938,-63.965,-20.508,-39.551,-21.973,0.000
1727422653.942,-47.363,-20.996,-37.109,-38.574,0.000
1727422653.946,1.465,-42.480,-33.691,-40.039,0.000
1727422653.950,12.207,-41.992,-37.109,-28.320,0.000
1727422653.954,-23.926,-32.227,-46.387,-27.832,0.000
1727422653.958,-67.871,-27.832,-43.945,-41.504,0.000
1727422653.962,-70.312,-34.180,-38.086,-43.945,0.000
1727422653.965,-24.902,-42.480,-42.969,-32.227,0.000
1727422653.969,-5.371,-45.410,-38.086,-36.133,0.000
1727422653.973,-37.598,-43.457,-26.855,-45.410,0.000
1727422653.977,-71.289,-38.574,-29.785,-42.969,0.000
1727422653.981,-81.055,-41.504,-32.227,-48.828,0.000
1727422653.985,-33.203,-52.246,-27.344,-43.457,0.000
1727422653.989,3.418,-60.059,-22.949,-40.039,0.000
1727422653.993,-26.855,-49.316,-27.832,-33.691,0.000
1727422653.997,-76.172,-37.109,-26.855,-33.203,0.000
1727422654.001,-96.680,-38.086,-32.227,-63.477,0.000
1727422654.005,-53.223,-40.527,-32.715,-59.570,0.000
1727422654.009,2.930,-39.062,-23.926,-30.762,0.000
1727422654.012,-2.930,-38.574,-30.273,-27.344,0.000
1727422654.016,-69.824,-46.875,-43.457,-53.223,0.000
1727422654.020,-100.586,-49.316,-38.574,-63.477,0.000
1727422654.024,-52.734,-41.504,-29.297,-50.293,0.000
1727422654.028,-6.836,-38.086,-29.297,-36.133,0.000
1727422654.032,-10.742,-45.898,-28.320,-28.320,0.000
1727422654.036,-53.223,-50.293,-27.344,-41.016,0.000
1727422654.040,-85.449,-48.340,-29.297,-60.059,0.000
1727422654.044,-49.805,-44.922,-35.645,-57.617,0.000
1727422654.048,-1.953,-47.852,-40.527,-44.434,0.000
1727422654.052,-1.465,-53.223,-35.156,-32.715,0.000
1727422654.055,-45.410,-51.270,-32.715,-29.297,0.000
1727422654.059,-80.078,-44.922,-40.039,-44.434,0.000
1727422654.063,-46.387,-41.504,-41.992,-45.410,0.000
1727422654.067,6.348,-51.758,-42.480,-9.277,0.000
1727422654.071,4.883,-64.453,-41.504,-6.836,0.000
1727422654.075,-32.227,-60.547,-47.363,-35.156,0.000
1727422654.079,-71.777,-64.941,-46.387,-36.133,0.000
1727422654.083,-53.711,-53.711,-25.879,-17.090,0.000
1727422654.087,-0.977,-35.645,-28.809,-15.137,0.000
1727422654.091,10.742,-41.992,-42.480,-19.043,0.000
1727422654.095,-20.508,-35.645,-36.133,-20.996,0.000
1727422654.098,-65.918,-34.180,-44.434,-35.156,0.000
1727422654.102,-60.547,-44.922,-47.852,-43.945,0.000
1727422654.106,-16.113,-36.133,-40.527,-38.086,0.000
1727422654.110,8.301,-35.645,-39.551,-17.090,0.000
1727422654.114,-14.648,-39.062,-33.203,-10.254,0.000
1727422654.118,-64.453,-33.203,-30.762,-35.645,0.000
1727422654.122,-62.500,-27.832,-28.320,-33.203,0.000
1727422654.126,-16.602,-34.180,-34.668,-22.461,0.000
1727422654.130,0.000,-38.574,-40.527,-13.672,0.000
1727422654.134,-32.227,-41.992,-40.039,-11.230,0.000
1727422654.137,-70.801,-44.434,-39.551,-28.809,0.000
1727422654.141,-67.383,-30.762,-34.180,-33.691,0.000
1727422654.145,-18.066,-22.461,-34.180,-20.996,0.000
1727422654.149,16.602,-39.062,-36.133,-3.418,0.000
1727422654.153,-1.953,-51.270,-31.250,-6.348,0.000
1727422654.157,-51.758,-43.945,-31.250,-27.344,0.000
1727422654.161,-57.617,-25.879,-23.438,-29.785,0.000
1727422654.165,-8.301,-18.555,-20.508,-23.926,0.000
1727422654.169,20.508,-43.457,-32.227,-23.926,0.000
1727422654.173,5.371,-41.504,-31.250,-18.555,0.000
1727422654.177,-39.062,-18.555,-32.227,-25.879,0.000
1727422654.181,-61.523,-11.719,-36.133,-35.156,0.000
1727422654.184,-15.137,-9.766,-33.691,-27.832,0.000
1727422654.188,29.785,-14.160,-28.320,-7.324,0.000
1727422654.192,32.227,-17.578,-23.438,8.301,0.000
1727422654.196,-23.926,-23.438,-18.066,-6.348,0.000
1727422654.200,-81.543,-38.086,-28.809,-32.715,0.000
1727422654.204,-40.039,-37.109,-33.691,-26.855,0.000
1727422654.208,12.207,-35.645,-29.297,-13.184,0.000
1727422654.212,6.348,-47.852,-38.574,-15.625,0.000
1727422654.216,-37.598,-44.434,-35.645,-33.691,0.000
1727422654.220,-68.359,-37.598,-29.785,-43.945,0.000
1727422654.223,-41.504,-41.504,-30.273,-44.922,0.000
1727422654.227,4.395,-49.805,-37.109,-41.504,0.000
1727422654.231,-4.395,-49.805,-44.434,-27.832,0.000
1727422654.235,-50.781,-49.316,-43.457,-37.598,0.000
1727422654.239,-82.031,-46.387,-41.016,-46.875,0.000
1727422654.243,-54.199,-27.832,-40.039,-28.320,0.000
1727422654.247,4.883,-20.508,-41.016,-18.555,0.000
1727422654.251,4.395,-32.715,-48.340,-31.738,0.000
1727422654.255,-49.316,-61.035,-62.012,-51.270,0.000
1727422654.259,-85.449,-64.453,-53.223,-55.664,0.000
