timestamps,TP9,AF7,AF8,TP10,Right AUX
1727691522.520,14.648,-11.230,-29.785,-21.973,0.000
1727691522.524,-8.301,-16.602,-23.438,-29.785,0.000
1727691522.528,-36.133,-19.531,-29.785,-31.250,0.000
1727691522.532,-11.230,-10.254,-29.785,-23.926,0.000
1727691522.535,12.695,-6.348,-26.367,-10.742,0.000
1727691522.539,10.742,-8.301,-25.391,-2.930,0.000
1727691522.543,-5.859,-13.672,-26.367,-10.742,0.000
1727691522.547,-53.223,-17.090,-29.785,-29.297,0.000
1727691522.551,-29.785,-18.066,-25.879,-26.367,0.000
1727691522.555,30.762,-29.785,-17.090,-1.465,0.000
1727691522.559,30.762,-29.785,-27.344,0.977,0.000
1727691522.563,3.418,-10.254,-35.156,-7.812,0.000
1727691522.567,-34.668,-0.488,-36.133,-18.555,0.000
1727691522.571,-14.160,-7.324,-45.410,-19.043,0.000
1727691522.575,42.480,-15.137,-41.016,1.465,0.000
1727691522.578,39.551,-15.137,-34.180,1.953,0.000
1727691522.582,15.625,-20.508,-31.250,5.371,0.000
1727691522.586,-31.250,-20.020,-22.461,4.883,0.000
1727691522.590,-42.480,-14.160,-25.391,0.000,0.000
1727691522.594,13.672,-19.043,-27.344,4.395,0.000
1727691522.598,39.551,-24.902,-25.879,3.906,0.000
1727691522.602,14.160,-29.297,-26.367,7.812,0.000
1727691522.606,-20.508,-26.367,-21.484,-2.441,0.000
1727691522.610,-22.461,-25.391,-23.926,-19.043,0.000
1727691522.614,7.812,-26.855,-29.297,-12.207,0.000
1727691522.618,20.508,-27.832,-32.227,-4.395,0.000
1727691522.621,20.508,-29.785,-28.809,2.441,0.000
1727691522.625,-11.719,-30.762,-25.391,3.418,0.000
1727691522.629,-25.879,-30.762,-27.832,-2.441,0.000
1727691522.633,21.484,-26.367,-26.855,4.883,0.000
1727691522.637,41.992,-25.391,-18.555,11.230,0.000
1727691522.641,35.156,-26.367,-17.578,10.742,0.000
1727691522.645,-6.348,-31.738,-14.160,11.230,0.000
