timestamps,TP9,AF7,AF8,TP10,Right AUX
1727710598.471,-28.320,-8.789,-40.039,-31.250,0.000
1727710598.475,-49.805,-9.277,-41.504,-39.062,0.000
1727710598.479,-48.340,-5.859,-41.016,-33.691,0.000
1727710598.483,-28.809,-9.766,-31.738,-41.504,0.000
1727710598.487,-21.973,-11.230,-31.738,-49.805,0.000
1727710598.491,-35.645,-12.695,-37.598,-46.387,0.000
1727710598.494,-62.012,-15.137,-38.086,-50.293,0.000
1727710598.498,-63.965,-13.672,-37.109,-47.852,0.000
1727710598.502,-31.250,-9.766,-36.621,-41.992,0.000
1727710598.506,-13.184,-13.184,-38.574,-31.738,0.000
1727710598.510,-16.113,-15.625,-40.039,-25.879,0.000
1727710598.514,-33.691,-13.184,-41.504,-29.785,0.000
1727710598.518,-46.875,-15.137,-41.504,-40.527,0.000
1727710598.522,-28.809,-17.578,-39.062,-48.340,0.000
1727710598.526,-16.602,-20.508,-41.504,-38.574,0.000
1727710598.530,-24.902,-20.020,-42.480,-28.320,0.000
1727710598.534,-40.527,-19.043,-39.551,-31.738,0.000
1727710598.537,-56.152,-19.043,-39.551,-32.715,0.000
1727710598.541,-42.969,-18.555,-40.039,-31.738,0.000
1727710598.545,-26.367,-19.043,-41.992,-38.574,0.000
1727710598.549,-20.508,-18.555,-43.457,-41.016,0.000
1727710598.553,-34.180,-18.555,-42.969,-40.039,0.000
1727710598.557,-51.758,-19.531,-40.527,-39.551,0.000
1727710598.561,-36.621,-19.531,-34.180,-36.621,0.000
1727710598.565,-26.855,-18.555,-33.203,-33.203,0.000
1727710598.569,-25.879,-19.043,-32.715,-26.855,0.000
1727710598.573,-29.785,-22.949,-29.297,-24.902,0.000
1727710598.576,-38.574,-19.531,-28.320,-26.367,0.000
1727710598.580,-40.039,-12.695,-32.715,-36.133,0.000
1727710598.584,-35.645,-16.113,-33.691,-43.457,0.000
1727710598.588,-33.203,-22.461,-35.156,-38.086,0.000
1727710598.592,-41.992,-26.367,-38.574,-36.133,0.000
1727710598.596,-62.500,-23.438,-39.062,-33.203,0.000
1727710598.600,-52.734,-26.367,-41.016,-34.668,0.000
1727710598.604,-28.809,-31.250,-39.062,-34.180,0.000
1727710598.608,-27.344,-29.297,-36.621,-34.668,0.000
1727710598.612,-39.062,-32.227,-34.180,-35.645,0.000
1727710598.616,-51.758,-32.715,-39.551,-26.855,0.000
1727710598.619,-43.457,-30.273,-37.598,-34.180,0.000
1727710598.623,-29.297,-28.320,-30.273,-34.668,0.000
1727710598.627,-19.043,-27.832,-37.598,-33.691,0.000
1727710598.631,-18.555,-24.902,-39.062,-38.574,0.000
1727710598.635,-27.344,-19.043,-37.598,-31.738,0.000
1727710598.639,-23.926,-18.066,-42.969,-25.879,0.000
1727710598.643,-13.184,-26.367,-49.316,-34.668,0.000
1727710598.647,-8.789,-29.785,-48.340,-31.738,0.000
1727710598.651,-14.160,-28.320,-41.016,-29.785,0.000
1727710598.655,-31.250,-26.367,-38.574,-34.180,0.000
1727710598.659,-40.527,-23.926,-38.574,-31.738,0.000
1727710598.662,-36.133,-25.879,-41.016,-38.574,0.000
1727710598.666,-24.902,-22.949,-42.480,-40.039,0.000
1727710598.670,-21.973,-21.973,-43.457,-33.691,0.000
1727710598.674,-30.762,-25.391,-41.016,-30.273,0.000
1727710598.678,-30.762,-25.391,-39.062,-29.297,0.000
1727710598.682,-16.602,-21.484,-44.434,-34.180,0.000
1727710598.686,-7.812,-20.996,-43.945,-28.809,0.000
1727710598.690,-6.836,-23.926,-37.598,-29.785,0.000
1727710598.694,-18.066,-28.809,-34.180,-30.762,0.000
1727710598.698,-30.762,-25.879,-29.297,-23.926,0.000
1727710598.701,-23.438,-21.484,-29.785,-35.645,0.000
1727710598.705,0.000,-23.438,-28.320,-42.969,0.000
1727710598.709,0.000,-25.391,-30.762,-36.621,0.000
1727710598.713,0.000,-23.438,-33.203,-26.367,0.000
1727710598.717,0.000,-22.949,-32.715,-28.320,0.000
1727710598.721,0.000,-30.273,-36.133,-34.180,0.000
1727710598.725,0.000,-30.273,-33.203,-30.273,0.000
1727710598.729,0.000,-24.902,-32.715,-26.367,0.000
1727710598.733,0.000,-22.949,-30.762,-21.973,0.000
1727710598.737,0.000,-22.949,-27.344,-17.090,0.000
1727710598.741,0.000,-22.949,-26.855,-22.949,0.000
1727710598.744,0.000,-23.926,-27.344,-26.855,0.000
1727710598.748,0.000,-26.367,-32.227,-27.344,0.000
1727710598.752,-33.203,-27.832,-38.086,-32.227,0.000
1727710598.756,-45.410,-25.879,-36.133,-32.227,0.000
1727710598.760,-43.457,-27.832,-35.645,-40.039,0.000
1727710598.764,-30.273,-28.320,-38.574,-44.922,0.000
1727710598.768,-18.555,-23.438,-37.109,-38.574,0.000
1727710598.772,-31.250,-26.367,-34.180,-37.109,0.000
1727710598.776,-57.129,-30.273,-36.133,-40.039,0.000
1727710598.780,-50.293,-25.879,-35.645,-46.875,0.000
1727710598.783,-31.738,-27.344,-32.227,-48.828,0.000
1727710598.787,-29.785,-31.250,-38.574,-41.992,0.000
1727710598.791,-37.109,-23.926,-41.504,-42.480,0.000
1727710598.795,-44.434,-20.020,-44.434,-38.574,0.000
1727710598.799,-30.762,-22.949,-42.969,-23.926,0.000
1727710598.803,-15.137,-28.809,-27.832,-22.461,0.000
1727710598.807,-30.273,-34.180,-27.344,-25.879,0.000
