timestamps,TP9,AF7,AF8,TP10,Right AUX
1727412984.063,13.184,-81.543,-33.203,-12.695,0.000
1727412984.067,16.602,-80.078,-45.410,-21.973,0.000
1727412984.071,-35.156,-76.172,-51.270,-27.344,0.000
1727412984.075,-84.961,-59.570,-47.363,-29.297,0.000
1727412984.079,-37.598,-67.871,-37.598,-18.555,0.000
1727412984.083,20.020,-74.219,-37.109,-18.066,0.000
1727412984.087,0.488,-61.035,-40.039,-25.879,0.000
1727412984.091,-45.410,-74.707,-41.016,-30.762,0.000
1727412984.095,-81.543,-65.430,-37.109,-28.320,0.000
1727412984.099,-68.848,-50.293,-32.227,-28.809,0.000
1727412984.103,-11.719,-55.176,-46.387,-28.320,0.000
1727412984.106,-3.906,-70.312,-61.035,-34.180,0.000
1727412984.110,-62.012,-100.098,-82.031,-53.223,0.000
1727412984.114,-123.535,-101.562,-97.656,-82.520,0.000
1727412984.118,-101.562,-92.773,-76.172,-86.426,0.000
1727412984.122,-30.762,-85.938,-78.613,-66.895,0.000
1727412984.126,-36.133,-89.844,-102.539,-72.754,0.000
1727412984.130,-95.215,-82.520,-109.375,-83.496,0.000
1727412984.134,-124.023,-93.750,-99.121,-82.031,0.000
1727412984.138,-89.844,-100.586,-86.426,-75.684,0.000
1727412984.142,-47.852,-80.078,-87.402,-63.965,0.000
1727412984.146,-44.434,-77.148,-85.938,-75.195,0.000
1727412984.149,-72.266,-88.379,-89.844,-73.242,0.000
1727412984.153,-121.094,-95.703,-87.891,-71.777,0.000
1727412984.157,-128.418,-98.633,-82.031,-81.055,0.000
1727412984.161,-71.289,-96.191,-78.125,-71.777,0.000
1727412984.165,-28.809,-92.285,-75.195,-48.340,0.000
1727412984.169,-60.059,-78.613,-80.566,-58.594,0.000
1727412984.173,-120.117,-87.891,-73.730,-75.195,0.000
1727412984.177,-106.934,-80.078,-76.172,-63.965,0.000
1727412984.181,-45.410,-78.613,-76.660,-50.293,0.000
1727412984.185,-11.719,-86.426,-71.777,-33.691,0.000
1727412984.188,-44.434,-66.406,-69.336,-28.320,0.000
1727412984.192,-96.191,-70.801,-66.406,-49.316,0.000
1727412984.196,-89.355,-81.055,-56.152,-58.105,0.000
1727412984.200,-43.945,-56.152,-52.734,-46.387,0.000
1727412984.204,-18.555,-25.391,-69.336,-41.992,0.000
1727412984.208,-13.184,-41.992,-56.152,-20.020,0.000
1727412984.212,-62.988,-61.523,-47.852,-24.902,0.000
1727412984.216,-94.238,-53.223,-55.664,-46.387,0.000
1727412984.220,-41.504,-42.480,-51.758,-39.551,0.000
1727412984.224,14.648,-41.504,-42.969,-27.344,0.000
1727412984.228,8.301,-47.363,-52.734,-31.250,0.000
1727412984.231,-59.082,-48.828,-63.477,-35.156,0.000
1727412984.235,-100.098,-41.016,-64.453,-43.457,0.000
1727412984.239,-48.828,-39.551,-65.918,-38.574,0.000
1727412984.243,12.695,-46.387,-60.059,-20.508,0.000
1727412984.247,6.348,-40.527,-53.223,-19.043,0.000
1727412984.251,-60.547,-39.551,-56.641,-44.434,0.000
1727412984.255,-89.355,-43.945,-55.664,-53.711,0.000
1727412984.259,-59.570,-22.461,-54.199,-44.922,0.000
1727412984.263,-20.508,-22.461,-52.734,-41.992,0.000
1727412984.267,-6.836,-50.293,-52.246,-40.527,0.000
1727412984.271,-54.199,-46.875,-62.012,-39.551,0.000
1727412984.274,-104.492,-47.363,-68.848,-53.223,0.000
1727412984.278,-74.707,-55.176,-64.941,-60.547,0.000
1727412984.282,-13.184,-52.246,-60.547,-52.246,0.000
1727412984.286,-12.695,-53.711,-72.754,-55.176,0.000
1727412984.290,-60.547,-58.594,-75.684,-53.711,0.000
1727412984.294,-119.629,-43.945,-71.289,-65.918,0.000
1727412984.298,-89.844,-55.664,-70.801,-71.777,0.000
1727412984.302,-25.391,-83.008,-68.848,-64.453,0.000
1727412984.306,-27.344,-71.777,-70.312,-63.477,0.000
